user_id,signup_date,acquisition_channel,region,company_size,industry,experiment_group,experiment_eligibility_flag,assignment_valid_flag,exposure_days,low_exposure_flag,onboarding_completion_flag,activation_flag,retained_30d,retained_60d,churn_30d,upgrade_flag,expansion_revenue_flag,negative_feedback_flag,sessions_first_14d,feature_adoption_count,support_tickets_first_30d,time_to_activation_days,monthly_subscription_value,subscription_value_band,engagement_band,feature_adoption_band
15,2026-01-02,direct,North America,mid_market,healthcare,control,1,1,23,0,1,0,0,0,1,0,0,0,6,3,0,,182.09,high_value,moderate_engagement,basic_adoption
16,2026-03-29,paid_social,Other,mid_market,software,control,1,1,25,0,1,0,0,0,1,0,0,0,1,2,2,,322.38,high_value,low_engagement,basic_adoption
17,2026-01-30,referral,Europe,small,finance,treatment,1,1,25,0,0,0,1,0,0,0,0,0,5,1,0,,74.95,mid_value,moderate_engagement,minimal_adoption
18,2026-02-07,paid_search,North America,solo,finance,treatment,1,1,23,0,1,1,1,0,0,0,0,0,7,5,1,5.6,35.8,low_value,moderate_engagement,moderate_adoption
19,2026-01-02,organic,Europe,solo,other,treatment,1,1,24,0,1,1,1,0,0,1,0,0,7,6,0,11.8,34.18,low_value,moderate_engagement,moderate_adoption
20,2026-03-05,paid_search,APAC,enterprise,retail,treatment,1,1,29,0,1,1,0,1,1,0,0,0,15,4,2,9.2,778.88,enterprise_value,high_engagement,moderate_adoption
21,2026-03-01,paid_search,Europe,small,education,control,1,1,23,0,0,1,1,0,0,1,1,0,3,6,0,2.0,115.25,mid_value,low_engagement,moderate_adoption
22,2026-01-21,partner,Europe,mid_market,software,control,1,1,30,0,1,0,1,0,0,0,0,0,3,4,0,,265.01,high_value,low_engagement,moderate_adoption
23,2026-02-02,referral,Europe,mid_market,finance,treatment,1,1,29,0,1,1,1,1,0,0,0,0,16,2,0,0.6,237.52,high_value,power_engagement,basic_adoption
24,2026-03-17,organic,Europe,mid_market,software,treatment,1,1,30,0,1,1,1,1,0,0,0,0,9,5,1,3.9,335.94,high_value,high_engagement,moderate_adoption
25,2026-02-27,direct,North America,solo,other,control,1,1,21,0,1,0,0,1,1,0,0,0,7,1,0,,20.23,low_value,moderate_engagement,minimal_adoption
26,2026-01-22,paid_search,North America,solo,software,control,1,1,25,0,1,0,0,1,1,0,0,0,6,1,0,,21.55,low_value,moderate_engagement,minimal_adoption
27,2026-03-30,direct,North America,mid_market,finance,treatment,1,1,25,0,0,1,0,1,1,1,1,1,10,1,2,6.2,265.41,high_value,high_engagement,minimal_adoption
28,2026-02-18,direct,North America,enterprise,software,treatment,1,1,29,0,0,1,0,0,1,1,1,0,10,4,0,3.4,651.21,enterprise_value,high_engagement,moderate_adoption
29,2026-02-28,organic,North America,small,retail,control,1,1,28,0,1,0,1,0,0,0,0,0,4,2,0,,67.73,mid_value,moderate_engagement,basic_adoption
30,2026-02-11,paid_search,Europe,mid_market,healthcare,control,1,1,27,0,0,1,0,0,1,0,0,0,11,1,2,5.5,139.84,mid_value,high_engagement,minimal_adoption
31,2026-03-01,paid_social,Europe,solo,healthcare,treatment,1,1,21,0,1,1,0,0,1,0,0,0,5,2,1,2.4,45.86,low_value,moderate_engagement,basic_adoption
32,2026-03-21,referral,North America,solo,software,control,1,1,27,0,0,0,1,1,0,0,0,0,5,1,0,,46.09,low_value,moderate_engagement,minimal_adoption
33,2026-01-15,paid_social,North America,small,healthcare,control,1,1,22,0,0,0,0,0,1,0,0,0,1,2,1,,102.23,mid_value,low_engagement,basic_adoption
34,2026-03-03,direct,North America,mid_market,healthcare,control,1,1,29,0,1,1,1,0,0,0,0,0,14,6,1,5.9,244.63,high_value,high_engagement,moderate_adoption
35,2026-03-03,referral,North America,small,other,control,1,1,23,0,1,1,1,1,0,0,0,0,4,5,0,10.4,115.19,mid_value,moderate_engagement,moderate_adoption
36,2026-02-16,organic,North America,small,software,treatment,1,1,29,0,0,1,0,1,1,0,0,0,13,5,1,14.1,66.28,mid_value,high_engagement,moderate_adoption
37,2026-03-03,organic,Europe,solo,other,treatment,1,1,25,0,1,1,0,1,1,0,1,0,5,1,1,9.5,45.72,low_value,moderate_engagement,minimal_adoption
38,2026-02-20,referral,North America,small,healthcare,control,1,1,24,0,1,1,1,1,0,1,1,0,9,4,1,1.1,110.74,mid_value,high_engagement,moderate_adoption
39,2026-02-24,organic,Europe,enterprise,software,control,1,1,25,0,1,1,1,0,0,0,0,0,6,4,1,3.6,1389.87,enterprise_value,moderate_engagement,moderate_adoption
40,2026-03-05,partner,UK,solo,retail,treatment,1,1,22,0,1,1,1,1,0,1,0,0,9,3,2,5.4,59.33,mid_value,high_engagement,basic_adoption
41,2026-01-03,paid_search,North America,mid_market,healthcare,control,1,1,28,0,1,0,1,1,0,0,0,0,8,0,1,,237.51,high_value,moderate_engagement,minimal_adoption
42,2026-02-20,paid_search,North America,mid_market,software,treatment,1,1,28,0,1,1,1,1,0,0,0,0,8,4,0,9.1,220.22,high_value,moderate_engagement,moderate_adoption
43,2026-01-07,organic,North America,mid_market,retail,control,0,0,4,1,0,0,1,0,0,0,0,0,7,2,0,,350.67,high_value,moderate_engagement,basic_adoption
44,2026-01-21,referral,North America,enterprise,healthcare,control,1,1,28,0,1,1,0,0,1,1,1,0,9,5,1,6.3,1147.12,enterprise_value,high_engagement,moderate_adoption
45,2026-03-14,organic,North America,small,retail,treatment,1,1,27,0,1,1,0,1,1,0,0,0,10,3,1,7.6,50.93,mid_value,high_engagement,basic_adoption
46,2026-02-08,referral,UK,small,retail,treatment,1,1,22,0,1,1,0,0,1,0,0,0,5,5,0,8.9,73.07,mid_value,moderate_engagement,moderate_adoption
47,2026-01-18,paid_social,North America,solo,healthcare,treatment,1,1,28,0,0,0,0,1,1,0,0,0,6,5,0,,35.93,low_value,moderate_engagement,moderate_adoption
48,2026-01-04,partner,Other,small,finance,control,1,1,26,0,0,1,1,0,0,0,0,0,10,4,2,4.1,74.72,mid_value,high_engagement,moderate_adoption
49,2026-03-30,paid_social,North America,small,software,control,1,1,25,0,1,0,1,1,0,0,0,0,10,2,1,,98.75,mid_value,high_engagement,basic_adoption
50,2026-03-01,organic,UK,solo,healthcare,control,1,1,22,0,1,0,1,1,0,0,0,0,5,4,2,,25.01,low_value,moderate_engagement,moderate_adoption
51,2026-01-14,referral,UK,mid_market,software,control,1,1,23,0,0,0,1,1,0,0,0,0,3,5,3,,252.8,high_value,low_engagement,moderate_adoption
52,2026-01-09,organic,North America,mid_market,software,treatment,1,1,24,0,1,1,1,0,0,1,0,0,13,1,0,5.2,228.78,high_value,high_engagement,minimal_adoption
53,2026-03-31,paid_search,North America,small,finance,control,1,1,24,0,1,0,0,0,1,0,0,0,6,1,1,,62.08,mid_value,moderate_engagement,minimal_adoption
54,2026-02-22,organic,Europe,solo,software,control,1,1,25,0,0,1,1,0,0,0,0,0,17,4,1,2.3,42.92,low_value,power_engagement,moderate_adoption
55,2026-01-02,referral,APAC,small,healthcare,treatment,1,1,22,0,0,1,0,0,1,0,0,0,10,7,3,5.0,116.2,mid_value,high_engagement,broad_adoption
56,2026-03-25,direct,Europe,small,healthcare,control,1,1,29,0,1,0,0,1,1,0,0,0,11,1,0,,54.13,mid_value,high_engagement,minimal_adoption
57,2026-03-01,paid_social,North America,mid_market,education,treatment,1,1,29,0,1,1,1,0,0,1,0,1,12,5,0,2.6,192.41,high_value,high_engagement,moderate_adoption
58,2026-03-12,paid_social,North America,small,software,treatment,1,1,29,0,0,0,0,0,1,0,0,0,1,0,0,,101.87,mid_value,low_engagement,minimal_adoption
59,2026-02-13,referral,North America,solo,finance,control,1,1,25,0,1,1,0,0,1,0,0,0,10,3,0,5.6,22.26,low_value,high_engagement,basic_adoption
60,2026-01-08,organic,APAC,solo,retail,control,1,1,24,0,1,1,1,1,0,0,0,0,11,3,1,7.4,25.94,low_value,high_engagement,basic_adoption
61,2026-02-16,direct,UK,small,other,treatment,1,1,29,0,1,0,0,1,1,0,0,0,4,2,0,,67.69,mid_value,moderate_engagement,basic_adoption
62,2026-02-04,organic,North America,small,other,treatment,0,0,1,1,1,0,1,1,0,0,0,0,4,1,0,,81.99,mid_value,moderate_engagement,minimal_adoption
63,2026-03-19,direct,North America,solo,healthcare,treatment,1,1,27,0,0,1,1,0,0,1,1,0,10,3,3,3.9,24.26,low_value,high_engagement,basic_adoption
64,2026-03-22,referral,North America,solo,retail,control,1,1,25,0,0,0,0,0,1,0,0,0,4,2,0,,49.52,low_value,moderate_engagement,basic_adoption
65,2026-02-05,referral,APAC,small,healthcare,control,1,1,28,0,0,1,0,1,1,0,0,0,10,3,1,5.7,100.3,mid_value,high_engagement,basic_adoption
66,2026-02-19,referral,APAC,small,finance,treatment,1,1,25,0,1,1,1,0,0,0,0,0,8,5,1,11.8,63.75,mid_value,moderate_engagement,moderate_adoption
67,2026-01-04,paid_search,North America,small,retail,control,1,1,22,0,0,1,1,1,0,0,0,0,7,3,2,1.9,136.16,mid_value,moderate_engagement,basic_adoption
68,2026-01-02,paid_social,Europe,mid_market,finance,control,1,1,26,0,1,1,0,1,1,0,0,0,11,4,1,1.6,174.41,high_value,high_engagement,moderate_adoption
69,2026-01-06,organic,APAC,small,finance,treatment,1,1,22,0,0,1,1,1,0,0,0,0,12,5,1,2.2,62.47,mid_value,high_engagement,moderate_adoption
70,2026-02-23,referral,North America,small,retail,treatment,1,1,30,0,1,1,0,1,1,0,0,0,13,4,2,1.7,67.21,mid_value,high_engagement,moderate_adoption
71,2026-01-04,referral,North America,solo,other,treatment,1,1,29,0,0,1,0,0,1,0,0,0,9,6,3,4.6,28.22,low_value,high_engagement,moderate_adoption
72,2026-02-23,direct,North America,solo,finance,control,1,1,27,0,0,0,0,0,1,0,0,0,3,2,0,,23.28,low_value,low_engagement,basic_adoption
73,2026-03-04,paid_social,North America,small,retail,control,1,1,23,0,0,1,1,1,0,1,1,0,8,2,0,11.8,110.86,mid_value,moderate_engagement,basic_adoption
74,2026-01-18,organic,North America,solo,finance,treatment,1,1,30,0,0,1,1,0,0,0,0,0,15,1,1,6.2,48.94,low_value,high_engagement,minimal_adoption
75,2026-03-31,paid_search,Other,small,finance,treatment,1,1,28,0,0,0,1,0,0,0,0,0,5,0,2,,76.85,mid_value,moderate_engagement,minimal_adoption
76,2026-02-13,referral,Europe,solo,retail,treatment,1,1,21,0,1,1,1,1,0,0,0,0,10,8,0,13.2,14.43,low_value,high_engagement,broad_adoption
77,2026-02-03,organic,North America,solo,other,treatment,1,1,29,0,0,0,0,0,1,0,0,0,4,3,0,,35.33,low_value,moderate_engagement,basic_adoption
78,2026-03-15,paid_search,North America,solo,finance,control,1,1,27,0,0,0,0,0,1,0,0,0,6,3,1,,18.11,low_value,moderate_engagement,basic_adoption
79,2026-03-03,partner,UK,mid_market,education,treatment,0,0,13,1,1,1,1,1,0,1,0,0,10,4,1,11.4,215.07,high_value,high_engagement,moderate_adoption
80,2026-01-14,paid_social,North America,small,finance,control,1,1,22,0,1,1,0,1,1,0,0,0,8,5,2,1.7,93.88,mid_value,moderate_engagement,moderate_adoption
81,2026-02-17,,North America,solo,education,treatment,1,1,28,0,1,0,0,0,1,0,0,0,0,2,0,,15.66,low_value,low_engagement,basic_adoption
82,2026-01-15,paid_search,North America,small,education,treatment,1,1,26,0,0,0,0,0,1,0,0,0,4,1,2,,190.78,high_value,moderate_engagement,minimal_adoption
83,2026-03-13,referral,UK,small,education,treatment,1,1,26,0,0,1,0,0,1,1,0,0,10,1,2,15.2,169.17,high_value,high_engagement,minimal_adoption
84,2026-03-19,paid_search,North America,mid_market,other,control,1,1,24,0,0,1,1,0,0,0,0,0,21,7,1,7.6,233.78,high_value,power_engagement,broad_adoption
85,2026-03-28,referral,North America,solo,software,treatment,1,1,25,0,0,0,1,0,0,0,0,0,4,2,0,,30.04,low_value,moderate_engagement,basic_adoption
86,2026-03-03,organic,Europe,mid_market,finance,treatment,1,1,29,0,0,1,1,0,0,0,0,0,17,4,0,10.5,282.56,high_value,power_engagement,moderate_adoption
87,2026-02-09,partner,North America,small,retail,treatment,1,1,27,0,1,0,0,0,1,0,0,0,5,2,2,,74.35,mid_value,moderate_engagement,basic_adoption
88,2026-03-26,paid_social,Other,small,retail,treatment,1,1,21,0,1,1,1,1,0,0,0,0,13,4,1,3.7,80.05,mid_value,high_engagement,moderate_adoption
89,2026-03-21,paid_search,Europe,small,education,control,1,1,22,0,1,0,0,1,1,0,1,0,5,1,0,,142.85,mid_value,moderate_engagement,minimal_adoption
90,2026-03-23,paid_social,North America,mid_market,software,control,1,1,21,0,0,0,0,1,1,0,0,0,3,2,1,,280.34,high_value,low_engagement,basic_adoption
91,2026-02-22,referral,North America,small,retail,treatment,1,1,29,0,0,0,0,1,1,0,0,0,7,1,0,,37.55,low_value,moderate_engagement,minimal_adoption
92,2026-01-24,organic,Europe,solo,education,treatment,1,1,30,0,0,0,0,0,1,0,0,0,4,7,0,,31.66,low_value,moderate_engagement,broad_adoption
93,2026-01-26,referral,North America,small,software,treatment,1,1,21,0,1,1,0,0,1,1,1,0,4,4,2,4.5,127.31,mid_value,moderate_engagement,moderate_adoption
94,2026-03-30,organic,UK,solo,healthcare,control,1,1,23,0,1,0,1,0,0,0,0,0,7,3,0,,26.83,low_value,moderate_engagement,basic_adoption
95,2026-03-01,direct,Europe,enterprise,software,control,1,1,26,0,1,0,1,1,0,0,0,0,6,2,0,,1209.46,enterprise_value,moderate_engagement,basic_adoption
96,2026-02-10,partner,Europe,solo,education,control,1,1,26,0,0,1,0,1,1,1,1,0,9,1,2,5.1,27.15,low_value,high_engagement,minimal_adoption
97,2026-01-29,,Other,small,software,treatment,1,1,29,0,0,0,1,1,0,0,0,0,4,1,1,,115.53,mid_value,moderate_engagement,minimal_adoption
98,2026-01-15,partner,Europe,solo,software,treatment,1,1,29,0,1,0,1,1,0,0,0,1,5,4,1,,28.19,low_value,moderate_engagement,moderate_adoption
99,2026-02-14,paid_search,Europe,solo,software,control,1,1,24,0,0,1,0,0,1,0,0,0,7,1,1,4.5,18.2,low_value,moderate_engagement,minimal_adoption
100,2026-03-06,organic,Europe,small,software,control,1,1,21,0,1,0,1,1,0,0,0,1,2,1,1,,71.54,mid_value,low_engagement,minimal_adoption
101,2026-03-30,direct,APAC,small,retail,control,1,1,30,0,0,1,0,1,1,0,0,1,11,3,0,5.2,80.12,mid_value,high_engagement,basic_adoption
102,2026-03-12,referral,Europe,small,other,treatment,1,1,29,0,1,1,1,0,0,0,0,0,13,2,2,4.1,79.29,mid_value,high_engagement,basic_adoption
103,2026-01-09,paid_search,UK,solo,healthcare,control,1,1,22,0,0,1,1,0,0,0,0,1,8,3,1,5.6,16.13,low_value,moderate_engagement,basic_adoption
104,2026-03-29,paid_search,North America,mid_market,software,control,1,1,30,0,0,0,1,0,0,0,0,0,6,2,1,,288.97,high_value,moderate_engagement,basic_adoption
105,2026-01-01,paid_search,Europe,solo,finance,treatment,1,1,30,0,0,0,1,1,0,0,0,0,3,2,1,,68.7,mid_value,low_engagement,basic_adoption
106,2026-01-08,direct,North America,small,finance,treatment,1,1,24,0,1,0,0,0,1,0,0,0,4,3,2,,74.36,mid_value,moderate_engagement,basic_adoption
107,2026-03-29,organic,UK,small,healthcare,control,1,1,27,0,0,0,0,0,1,0,0,0,4,2,0,,81.52,mid_value,moderate_engagement,basic_adoption
108,2026-03-04,paid_search,North America,small,finance,treatment,1,1,22,0,0,0,1,0,0,0,0,0,6,5,1,,56.61,mid_value,moderate_engagement,moderate_adoption
109,2026-01-11,paid_social,North America,solo,retail,control,1,1,29,0,0,1,1,0,0,0,0,0,13,2,1,3.8,38.56,low_value,high_engagement,basic_adoption
110,2026-03-22,paid_search,APAC,mid_market,finance,control,1,1,25,0,0,1,1,1,0,1,0,0,10,6,0,1.7,253.94,high_value,high_engagement,moderate_adoption
111,2026-01-08,paid_search,North America,small,retail,control,1,1,30,0,0,0,0,0,1,1,0,0,4,1,0,,110.06,mid_value,moderate_engagement,minimal_adoption
112,2026-02-04,organic,North America,solo,healthcare,treatment,1,1,29,0,0,1,1,1,0,0,0,0,10,2,1,6.4,27.63,low_value,high_engagement,basic_adoption
113,2026-02-04,organic,North America,small,software,control,1,1,29,0,0,0,0,1,1,0,0,0,3,5,2,,63.02,mid_value,low_engagement,moderate_adoption
114,2026-02-02,organic,North America,solo,other,control,1,1,28,0,1,0,0,0,1,0,0,0,8,2,0,,25.9,low_value,moderate_engagement,basic_adoption
115,2026-01-05,direct,Europe,small,software,control,1,1,23,0,0,1,0,1,1,1,1,0,11,2,0,6.6,36.09,low_value,high_engagement,basic_adoption
116,2026-02-10,organic,North America,mid_market,healthcare,treatment,1,1,29,0,0,0,1,0,0,0,0,0,7,3,0,,153.25,high_value,moderate_engagement,basic_adoption
117,2026-01-28,referral,North America,mid_market,other,control,1,1,23,0,1,0,0,1,1,0,0,0,5,5,1,,507.9,enterprise_value,moderate_engagement,moderate_adoption
118,2026-01-07,referral,North America,small,software,treatment,1,1,29,0,0,0,1,1,0,0,0,0,5,2,0,,93.07,mid_value,moderate_engagement,basic_adoption
119,2026-03-14,partner,North America,solo,software,control,1,1,22,0,1,0,1,0,0,0,0,0,5,3,0,,31.45,low_value,moderate_engagement,basic_adoption
120,2026-03-13,direct,North America,solo,healthcare,treatment,1,1,27,0,0,0,0,0,1,0,1,0,4,4,4,,33.25,low_value,moderate_engagement,moderate_adoption
121,2026-01-12,organic,Europe,small,software,treatment,1,1,22,0,0,0,0,1,1,0,0,0,4,1,0,,80.03,mid_value,moderate_engagement,minimal_adoption
122,2026-02-03,organic,North America,small,retail,treatment,1,1,25,0,0,1,1,0,0,1,1,0,12,5,1,1.7,96.68,mid_value,high_engagement,moderate_adoption
123,2026-02-02,paid_search,North America,solo,education,treatment,1,1,22,0,0,0,0,1,1,0,0,1,2,3,0,,19.42,low_value,low_engagement,basic_adoption
124,2026-02-17,organic,APAC,mid_market,healthcare,treatment,1,1,28,0,0,1,1,0,0,0,0,0,12,4,0,1.0,264.48,high_value,high_engagement,moderate_adoption
125,2026-01-23,referral,APAC,solo,retail,control,1,1,22,0,1,1,0,1,1,1,1,1,11,3,2,3.3,27.37,low_value,high_engagement,basic_adoption
126,2026-03-03,referral,North America,small,retail,control,1,1,29,0,0,0,0,0,1,1,1,0,6,4,0,,85.47,mid_value,moderate_engagement,moderate_adoption
127,2026-03-29,partner,North America,solo,education,control,1,1,22,0,1,0,0,1,1,1,0,0,5,3,0,,36.26,low_value,moderate_engagement,basic_adoption
128,2026-02-06,organic,Europe,small,retail,control,1,1,24,0,0,1,0,0,1,1,0,0,8,2,0,3.4,49.71,low_value,moderate_engagement,basic_adoption
129,2026-02-13,direct,Europe,small,other,treatment,1,1,27,0,1,1,1,1,0,1,1,0,6,4,3,2.7,60.93,mid_value,moderate_engagement,moderate_adoption
130,2026-03-27,paid_search,Other,solo,healthcare,control,1,1,29,0,1,0,0,1,1,1,1,0,6,1,0,,32.57,low_value,moderate_engagement,minimal_adoption
131,2026-02-04,paid_social,North America,small,software,control,1,1,23,0,1,0,0,0,1,0,0,0,3,1,0,,135.4,mid_value,low_engagement,minimal_adoption
132,2026-03-06,paid_search,Europe,mid_market,finance,treatment,1,1,22,0,1,1,0,0,1,1,1,0,14,2,0,1.5,218.87,high_value,high_engagement,basic_adoption
133,2026-02-16,referral,APAC,small,other,control,1,1,26,0,1,1,1,0,0,0,1,0,5,1,2,1.6,78.07,mid_value,moderate_engagement,minimal_adoption
134,2026-03-19,paid_search,Europe,solo,software,control,1,1,21,0,0,1,0,0,1,0,0,0,9,4,1,1.6,29.17,low_value,high_engagement,moderate_adoption
135,2026-01-03,direct,North America,mid_market,education,control,1,1,25,0,1,1,0,1,1,0,0,0,13,4,1,5.2,277.23,high_value,high_engagement,moderate_adoption
136,2026-01-01,direct,North America,solo,healthcare,treatment,1,1,28,0,1,1,1,1,0,0,0,0,9,7,0,1.6,38.4,low_value,high_engagement,broad_adoption
137,2026-01-05,partner,North America,small,other,treatment,1,1,23,0,1,1,1,1,0,0,0,1,9,6,2,1.4,68.15,mid_value,high_engagement,moderate_adoption
138,2026-03-31,organic,North America,small,education,control,1,1,25,0,0,0,0,1,1,0,0,0,5,4,0,,79.84,mid_value,moderate_engagement,moderate_adoption
139,2026-01-14,partner,UK,small,retail,treatment,1,1,29,0,1,0,0,1,1,0,0,1,16,2,0,,84.27,mid_value,power_engagement,basic_adoption
140,2026-01-27,partner,North America,solo,other,treatment,1,1,21,0,0,0,0,1,1,1,0,0,9,0,0,,39.41,low_value,high_engagement,minimal_adoption
141,2026-01-09,organic,North America,mid_market,other,control,1,1,29,0,1,1,1,1,0,1,1,0,14,5,1,5.4,246.79,high_value,high_engagement,moderate_adoption
142,2026-03-20,organic,APAC,small,finance,control,1,1,21,0,0,0,1,0,0,0,0,1,6,1,1,,73.65,mid_value,moderate_engagement,minimal_adoption
143,2026-01-15,organic,Europe,enterprise,other,treatment,1,1,24,0,1,1,1,1,0,1,0,0,10,5,1,4.0,541.21,enterprise_value,high_engagement,moderate_adoption
144,2026-03-31,organic,North America,mid_market,software,control,1,1,21,0,0,1,1,0,0,0,0,0,5,4,1,7.6,361.49,high_value,moderate_engagement,moderate_adoption
145,2026-02-11,paid_social,North America,enterprise,education,treatment,1,1,28,0,0,0,0,0,1,0,0,0,9,1,1,,1079.27,enterprise_value,high_engagement,minimal_adoption
146,2026-03-18,direct,North America,small,finance,treatment,1,1,27,0,0,1,0,1,1,1,0,0,16,5,1,2.9,90.62,mid_value,power_engagement,moderate_adoption
147,2026-02-20,paid_search,North America,solo,healthcare,control,1,1,23,0,0,1,1,0,0,0,0,0,10,2,1,4.1,19.84,low_value,high_engagement,basic_adoption
148,2026-03-04,paid_social,APAC,mid_market,other,treatment,1,1,25,0,1,1,0,0,1,0,1,0,10,2,1,12.4,337.38,high_value,high_engagement,basic_adoption
149,2026-02-21,direct,North America,mid_market,retail,treatment,1,1,22,0,1,1,1,1,0,0,0,0,5,4,2,3.6,168.34,high_value,moderate_engagement,moderate_adoption
150,2026-01-04,organic,Europe,mid_market,healthcare,control,1,1,30,0,1,1,0,0,1,0,0,0,14,6,0,4.9,239.78,high_value,high_engagement,moderate_adoption
151,2026-01-23,partner,North America,small,software,treatment,1,1,25,0,1,1,1,1,0,1,0,0,15,7,0,8.1,72.65,mid_value,high_engagement,broad_adoption
152,2026-01-15,paid_social,Other,small,other,control,1,1,25,0,1,1,1,0,0,0,0,0,8,4,0,10.6,152.0,high_value,moderate_engagement,moderate_adoption
153,2026-02-12,paid_social,Europe,mid_market,finance,treatment,1,1,29,0,1,1,1,1,0,0,0,0,11,4,2,2.3,180.69,high_value,high_engagement,moderate_adoption
154,2026-01-29,paid_search,APAC,mid_market,software,control,1,1,25,0,1,1,1,0,0,0,0,1,10,4,1,6.9,279.39,high_value,high_engagement,moderate_adoption
155,2026-02-05,paid_social,Europe,solo,healthcare,treatment,1,1,22,0,1,0,0,0,1,0,0,0,3,2,2,,30.96,low_value,low_engagement,basic_adoption
156,2026-01-13,organic,APAC,small,finance,treatment,1,1,23,0,1,0,0,1,1,0,1,0,7,8,1,,48.82,low_value,moderate_engagement,broad_adoption
157,2026-02-01,referral,APAC,small,retail,treatment,1,1,26,0,0,0,1,1,0,0,0,0,7,1,1,,64.21,mid_value,moderate_engagement,minimal_adoption
158,2026-03-12,paid_search,UK,solo,software,control,1,1,21,0,1,1,0,1,1,0,0,0,6,3,0,2.4,35.73,low_value,moderate_engagement,basic_adoption
159,2026-02-28,direct,North America,enterprise,finance,control,1,1,26,0,0,0,1,1,0,0,0,1,3,3,1,,659.99,enterprise_value,low_engagement,basic_adoption
160,2026-03-27,paid_search,North America,small,other,treatment,1,1,25,0,1,1,0,0,1,0,0,0,16,4,0,4.8,54.73,mid_value,power_engagement,moderate_adoption
161,2026-01-28,organic,North America,small,other,treatment,1,1,22,0,1,1,1,1,0,0,0,0,7,7,0,6.3,88.21,mid_value,moderate_engagement,broad_adoption
162,2026-03-07,referral,North America,mid_market,other,treatment,1,1,22,0,0,1,0,1,1,0,0,0,11,9,0,8.0,241.04,high_value,high_engagement,broad_adoption
163,2026-02-11,organic,UK,solo,education,control,1,1,22,0,0,0,1,0,0,0,0,0,7,0,0,,29.34,low_value,moderate_engagement,minimal_adoption
164,2026-02-14,referral,Europe,mid_market,software,control,1,1,23,0,0,1,1,1,0,0,1,0,9,6,1,3.2,146.79,mid_value,high_engagement,moderate_adoption
165,2026-03-03,direct,Europe,mid_market,healthcare,treatment,1,1,30,0,1,0,1,1,0,1,1,0,3,3,0,,281.41,high_value,low_engagement,basic_adoption
166,2026-02-26,referral,North America,mid_market,retail,control,1,1,22,0,1,1,1,1,0,1,0,0,7,4,1,1.3,230.16,high_value,moderate_engagement,moderate_adoption
167,2026-01-06,organic,North America,small,software,treatment,1,1,23,0,0,1,1,1,0,0,0,0,10,4,1,7.8,37.19,low_value,high_engagement,moderate_adoption
168,2026-01-28,paid_social,North America,solo,software,treatment,1,1,29,0,0,0,0,0,1,0,0,0,2,2,1,,23.92,low_value,low_engagement,basic_adoption
