account_id,industry,company_size,region,contract_type,subscription_plan,account_age_months,monthly_recurring_revenue,seat_count,seats_used_percent,weekly_active_users,feature_adoption_rate,avg_session_minutes,admin_logins_last_30d,onboarding_completion_percent,days_since_last_login,support_tickets_last_90d,nps_score,nps_band,account_health_score,health_band,churn_flag,renewal_probability,expansion_revenue,usage_band,revenue_band,login_recency_band
114,education,small,APAC,monthly,business,2,335.29,48,56.47,13,40.44,15.98,3,47.7,6,4,45.0,passive,0.515,medium_health,0,57.02,82.92,medium_usage,mid_mrr,active_0_7d
115,retail,small,Other,monthly,starter,15,50.28,6,58.02,1,16.13,15.81,6,41.0,32,2,-3.0,detractor,0.331,medium_health,0,61.94,25.42,low_usage,low_mrr,inactive_31_90d
116,other,mid_market,North America,monthly,growth,3,195.61,13,72.32,2,17.47,11.2,1,34.7,8,2,,,0.405,medium_health,0,59.58,61.02,low_usage,mid_mrr,warming_8_30d
117,education,mid_market,Europe,monthly,growth,4,282.59,13,48.8,2,28.99,14.59,1,58.26,5,3,,,0.451,medium_health,1,67.62,19.02,low_usage,mid_mrr,active_0_7d
118,software,enterprise,APAC,annual,business,9,2057.28,40,54.23,9,33.56,15.13,5,63.56,11,1,26.0,passive,0.501,medium_health,0,75.12,723.47,low_usage,enterprise_mrr,warming_8_30d
119,other,small,UK,annual,business,2,606.13,36,96.37,12,37.44,21.89,3,55.19,10,5,7.0,passive,0.63,medium_health,0,78.2,229.03,medium_usage,high_mrr,warming_8_30d
120,,mid_market,UK,annual,business,3,786.83,35,86.91,7,19.66,20.54,3,62.13,6,0,24.0,passive,0.545,medium_health,0,76.94,392.42,low_usage,high_mrr,active_0_7d
121,education,small,North America,annual,starter,8,31.68,4,78.16,1,7.03,16.1,1,59.2,38,1,,,0.429,medium_health,1,72.95,2.04,low_usage,low_mrr,inactive_31_90d
122,other,small,Europe,annual,growth,7,138.46,11,85.21,2,49.63,26.19,2,69.95,42,2,8.0,passive,0.667,high_health,0,72.37,77.65,medium_usage,mid_mrr,inactive_31_90d
123,,small,Europe,annual,growth,25,122.2,19,64.95,6,52.55,26.84,2,48.82,10,1,22.0,passive,0.587,medium_health,1,66.18,3.43,medium_usage,mid_mrr,warming_8_30d
124,software,enterprise,Other,monthly,enterprise,1,7279.21,128,93.79,44,76.5,28.95,6,69.75,14,4,22.0,passive,0.857,high_health,0,74.14,1025.87,high_usage,enterprise_mrr,warming_8_30d
125,software,mid_market,North America,monthly,starter,35,95.78,4,92.61,1,38.54,13.33,4,41.41,18,2,37.0,passive,0.599,medium_health,0,58.52,20.47,medium_usage,low_mrr,warming_8_30d
126,finance,mid_market,APAC,monthly,business,30,339.92,23,47.9,5,39.48,10.34,4,45.89,6,4,8.0,passive,0.45,medium_health,1,68.66,15.23,medium_usage,mid_mrr,active_0_7d
127,education,small,North America,annual,starter,26,178.38,4,86.52,1,23.31,19.56,1,48.97,17,3,33.0,passive,0.523,medium_health,0,53.19,60.2,low_usage,mid_mrr,warming_8_30d
128,other,small,Other,annual,starter,7,51.5,4,36.97,0,30.87,15.67,2,48.27,10,2,32.0,passive,0.391,medium_health,0,90.35,10.67,low_usage,low_mrr,warming_8_30d
129,software,small,Europe,monthly,starter,31,50.55,7,84.22,2,12.9,12.1,7,62.26,8,3,36.0,passive,0.51,medium_health,0,64.54,13.32,low_usage,low_mrr,warming_8_30d
130,healthcare,small,Europe,annual,enterprise,4,699.65,123,61.68,42,42.64,20.04,6,73.01,32,1,25.0,passive,0.58,medium_health,0,84.95,108.16,medium_usage,high_mrr,inactive_31_90d
131,finance,small,Europe,monthly,starter,2,29.35,2,28.62,0,14.45,2.83,0,30.13,16,2,45.0,passive,0.237,low_health,0,63.19,8.95,low_usage,low_mrr,warming_8_30d
132,software,mid_market,North America,monthly,enterprise,1,2556.39,113,82.76,23,45.73,14.5,3,36.82,45,2,,,0.584,medium_health,1,52.91,5.1,medium_usage,enterprise_mrr,inactive_31_90d
133,software,small,North America,monthly,starter,50,55.12,7,58.24,2,35.76,10.79,5,49.53,19,2,25.0,passive,0.48,medium_health,0,69.75,13.12,medium_usage,low_mrr,warming_8_30d
134,finance,small,North America,monthly,growth,7,190.51,20,59.57,4,24.82,18.18,3,29.02,14,2,-7.0,detractor,0.356,medium_health,1,75.47,6.49,low_usage,mid_mrr,warming_8_30d
135,,small,North America,monthly,starter,45,53.25,7,80.14,3,19.77,24.61,7,74.75,17,2,,,0.562,medium_health,0,91.01,15.53,low_usage,low_mrr,warming_8_30d
136,finance,small,North America,annual,starter,6,32.35,5,47.54,1,10.08,5.07,4,46.73,6,1,49.0,passive,0.337,medium_health,1,58.8,0.87,low_usage,low_mrr,active_0_7d
137,healthcare,small,UK,annual,growth,43,62.02,17,72.34,3,35.23,1.0,4,33.69,10,5,,,0.461,medium_health,1,74.55,4.54,medium_usage,low_mrr,warming_8_30d
138,retail,enterprise,Europe,annual,enterprise,42,5793.18,91,43.23,31,54.0,28.78,5,52.48,9,1,46.0,passive,0.546,medium_health,0,85.65,831.36,medium_usage,enterprise_mrr,warming_8_30d
139,finance,mid_market,North America,monthly,business,46,728.16,39,66.01,9,44.62,12.42,1,60.45,25,1,22.0,passive,0.573,medium_health,0,69.15,269.47,medium_usage,high_mrr,warming_8_30d
140,other,mid_market,APAC,annual,business,12,564.26,38,67.87,11,37.17,15.63,5,71.01,6,0,56.0,promoter,0.611,medium_health,0,76.86,230.92,medium_usage,high_mrr,active_0_7d
141,other,small,Europe,monthly,growth,36,199.09,17,85.39,3,32.29,10.32,3,35.03,13,2,7.0,passive,0.509,medium_health,1,69.5,9.69,low_usage,mid_mrr,warming_8_30d
142,software,small,Other,monthly,business,54,229.87,32,45.1,7,39.97,25.64,1,54.99,8,2,41.0,passive,0.489,medium_health,0,72.85,27.13,medium_usage,mid_mrr,warming_8_30d
143,healthcare,small,Europe,annual,starter,7,60.81,6,71.47,1,28.39,20.45,3,39.44,51,3,25.0,passive,0.437,medium_health,1,77.39,0.9,low_usage,low_mrr,inactive_31_90d
