snapshot_month,plan_type,active_accounts,churned_accounts,total_mrr,total_revenue_at_risk,avg_product_health_score,avg_feature_adoption_rate,avg_usage_frequency,avg_days_since_last_login,avg_support_tickets,avg_renewal_probability,monthly_churn_rate,revenue_at_risk_rate
2022-07-01,enterprise,28,2,234898.05,2449.96,0.559,60.62,14.993,15.536,1.111,98.952,0.071,0.01
2022-07-01,growth,100,3,46592.82,569.41,0.604,65.354,17.024,14.62,1.398,98.622,0.03,0.012
2022-07-01,starter,110,7,12313.75,200.77,0.587,64.55,16.075,11.909,1.191,98.338,0.064,0.016
2022-08-01,business,66,2,138993.65,1588.29,0.593,63.839,16.223,16.106,1.197,98.405,0.03,0.011
2022-08-01,enterprise,31,1,279024.43,4260.11,0.575,62.999,15.993,15.516,1.258,98.656,0.032,0.015
2022-08-01,growth,115,4,54794.97,746.49,0.6,66.825,16.185,17.591,1.184,98.27,0.035,0.014
2022-08-01,starter,125,2,13579.54,244.33,0.572,63.49,15.749,16.792,1.145,98.182,0.016,0.018
2022-09-01,business,72,1,153959.95,2176.74,0.603,65.921,16.558,16.333,1.042,98.567,0.014,0.014
2022-09-01,enterprise,37,3,334321.84,3604.61,0.579,61.998,16.411,16.135,1.324,98.732,0.081,0.011
2022-09-01,growth,129,6,63381.39,966.75,0.582,64.097,16.055,14.581,1.465,98.338,0.046,0.015
2022-09-01,starter,141,6,15447.1,291.03,0.576,63.238,15.654,14.929,1.235,98.284,0.043,0.019
2022-10-01,business,78,3,174952.74,2345.47,0.591,64.604,16.36,16.718,1.494,98.751,0.038,0.013
2022-10-01,enterprise,38,1,356265.25,5524.34,0.584,61.861,16.666,12.947,1.026,98.626,0.026,0.016
2022-10-01,growth,137,6,68848.14,815.34,0.604,65.881,16.588,13.569,1.141,98.586,0.044,0.012
2022-10-01,starter,153,8,17429.61,383.66,0.579,62.631,16.359,14.837,1.318,98.115,0.052,0.022
2022-11-01,business,79,1,175597.03,2008.39,0.611,66.979,17.151,15.266,1.234,98.598,0.013,0.011
2022-11-01,enterprise,42,0,387694.19,6268.6,0.588,63.978,16.276,18.81,1.333,98.415,0.0,0.016
2022-11-01,growth,148,3,74401.35,1142.92,0.611,66.804,17.294,12.304,1.129,98.256,0.02,0.015
2022-11-01,starter,155,9,17261.7,281.52,0.594,65.026,16.708,14.2,1.481,98.337,0.058,0.016
2022-12-01,business,86,6,191731.35,1798.66,0.617,67.986,17.487,12.488,1.424,98.9,0.07,0.009
2022-12-01,enterprise,45,3,415622.57,9635.35,0.602,64.375,17.722,18.022,1.111,98.059,0.067,0.023
2022-12-01,growth,155,6,78101.87,1059.54,0.625,69.555,17.503,11.716,1.383,98.487,0.039,0.014
2022-12-01,starter,168,9,18589.8,281.37,0.599,65.988,16.896,13.923,1.131,98.255,0.054,0.015
2023-01-01,business,94,4,203147.62,2556.54,0.627,68.948,18.169,13.543,1.247,98.609,0.043,0.013
2023-01-01,enterprise,46,0,437154.69,4009.34,0.629,69.194,17.033,18.043,1.0,98.901,0.0,0.009
2023-01-01,growth,174,9,89223.69,1132.63,0.632,69.739,17.388,12.644,1.281,98.616,0.052,0.013
2023-01-01,starter,182,5,19892.08,248.03,0.608,67.242,17.215,13.148,1.385,98.556,0.028,0.012
2023-02-01,business,103,2,223972.57,2466.45,0.636,70.48,17.537,12.767,1.327,98.739,0.019,0.011
2023-02-01,enterprise,49,1,482483.54,6875.99,0.636,71.415,17.662,13.755,1.571,98.696,0.02,0.014
2023-02-01,growth,188,4,97868.12,1098.28,0.635,70.754,18.007,14.537,1.294,98.772,0.021,0.011
2023-02-01,starter,200,4,21636.03,318.71,0.61,67.987,17.102,14.09,1.424,98.526,0.02,0.015
2023-03-01,business,109,3,241718.15,2117.7,0.643,70.969,17.522,13.257,1.299,98.941,0.028,0.009
2023-03-01,enterprise,53,1,520998.63,6750.96,0.632,67.799,17.462,12.604,1.17,98.798,0.019,0.013
2023-03-01,growth,196,5,100442.12,1309.44,0.636,69.128,17.954,11.658,1.444,98.656,0.026,0.013
2023-03-01,starter,220,12,24001.25,350.04,0.612,67.105,17.032,13.641,1.37,98.333,0.054,0.015
2023-04-01,business,118,5,269832.76,3063.17,0.625,69.738,17.636,11.644,1.342,98.251,0.042,0.011
2023-04-01,enterprise,56,1,594740.13,4615.15,0.626,69.43,18.078,15.143,1.107,98.714,0.018,0.008
2023-04-01,growth,212,5,111944.05,1499.37,0.636,70.115,17.804,12.665,1.31,98.65,0.024,0.013
2023-04-01,starter,225,10,24696.03,298.49,0.613,68.005,17.63,14.227,1.296,98.538,0.044,0.012
2023-05-01,business,123,6,270195.82,2856.56,0.627,67.487,18.331,13.366,1.246,98.766,0.049,0.011
2023-05-01,enterprise,59,0,596165.03,7373.36,0.616,68.785,17.117,11.169,1.368,98.688,0.0,0.012
2023-05-01,growth,225,7,120446.52,1555.24,0.63,69.333,17.525,12.773,1.249,98.575,0.031,0.013
2023-05-01,starter,246,9,27216.32,411.03,0.611,66.981,17.079,12.703,1.398,98.365,0.037,0.015
2023-06-01,business,125,3,273030.53,3702.12,0.621,68.004,17.382,13.352,1.136,98.483,0.024,0.014
2023-06-01,enterprise,67,4,709954.17,13216.06,0.609,66.831,17.786,11.91,1.254,97.956,0.06,0.019
2023-06-01,growth,232,10,122801.15,1761.18,0.629,69.134,17.537,13.22,1.27,98.221,0.043,0.014
2023-06-01,starter,257,11,28350.94,423.73,0.602,65.817,16.963,16.121,1.335,98.341,0.043,0.015
2023-07-01,business,134,8,298025.89,3382.15,0.614,68.084,17.01,13.194,1.258,98.735,0.06,0.011
2023-07-01,enterprise,67,3,744642.86,14159.11,0.611,66.337,16.641,15.388,1.424,98.3,0.045,0.019
2023-07-01,growth,240,10,125383.55,1674.69,0.614,66.356,17.108,13.133,1.275,98.486,0.042,0.013
2023-07-01,starter,263,8,29519.69,549.06,0.595,65.433,16.709,13.251,1.256,97.98,0.03,0.019
2023-08-01,business,134,8,293746.93,3456.76,0.615,66.843,17.195,12.769,1.248,98.432,0.06,0.012
2023-08-01,enterprise,65,1,701849.76,12311.9,0.608,65.924,17.021,16.554,1.127,98.027,0.015,0.018
2023-08-01,growth,249,6,132325.11,1253.83,0.619,66.975,17.234,13.068,1.219,98.79,0.024,0.01
2023-08-01,starter,278,12,31000.61,481.83,0.584,63.68,16.487,14.061,1.178,98.326,0.043,0.016
2023-09-01,business,139,6,299387.25,4758.66,0.612,66.971,17.127,12.748,1.153,98.356,0.043,0.016
2023-09-01,enterprise,76,3,847178.71,15690.89,0.593,64.446,16.379,15.132,1.132,98.304,0.04,0.018
2023-09-01,growth,259,6,141626.36,1891.1,0.619,68.265,17.5,14.869,1.287,98.326,0.023,0.013
2023-09-01,starter,284,15,31864.35,584.96,0.585,63.537,16.575,14.032,1.355,98.038,0.053,0.018
2023-10-01,business,147,6,317193.57,3930.62,0.609,66.548,17.047,15.218,1.185,98.454,0.041,0.012
2023-10-01,enterprise,74,3,796570.56,12514.42,0.61,67.598,16.861,17.324,1.301,98.304,0.04,0.016
2023-10-01,growth,271,5,149478.88,1974.44,0.616,67.736,17.413,12.956,1.273,98.424,0.018,0.013
2023-10-01,starter,287,16,32252.32,553.32,0.595,64.128,17.095,13.488,1.235,98.202,0.056,0.017
2023-11-01,business,150,5,327500.02,3599.84,0.619,67.814,17.736,14.933,1.333,98.525,0.033,0.011
2023-11-01,enterprise,75,6,786013.2,8945.29,0.627,68.053,17.377,14.92,1.467,98.704,0.08,0.011
2023-11-01,growth,289,12,159075.69,2256.86,0.62,67.769,17.383,13.467,1.37,98.329,0.042,0.014
2023-11-01,starter,290,9,32295.56,611.1,0.6,65.207,17.108,12.893,1.183,97.931,0.031,0.019
2023-12-01,business,160,6,352623.22,4136.08,0.631,70.176,17.141,12.306,1.239,98.453,0.038,0.012
2023-12-01,enterprise,75,4,802736.6,11255.08,0.627,68.161,17.861,12.107,1.133,98.331,0.053,0.014
2023-12-01,growth,291,9,162224.93,2217.48,0.625,69.068,17.825,13.399,1.274,98.262,0.031,0.014
2023-12-01,starter,296,10,33485.99,542.51,0.615,67.509,17.623,13.166,1.281,98.324,0.034,0.016
2024-01-01,business,166,11,381771.33,3903.13,0.645,70.485,17.823,12.133,1.421,98.85,0.066,0.01
2024-01-01,enterprise,75,2,817747.52,12861.65,0.643,71.592,17.859,11.72,1.284,98.439,0.027,0.016
2024-01-01,growth,292,12,164866.06,2441.98,0.646,71.326,18.121,12.411,1.31,98.354,0.041,0.015
2024-01-01,starter,296,17,33834.48,560.02,0.621,67.905,17.84,13.635,1.316,98.213,0.057,0.017
2024-02-01,business,163,6,368925.26,4240.45,0.654,71.374,18.435,12.963,1.297,98.713,0.037,0.012
2024-02-01,enterprise,81,3,878687.2,13644.13,0.654,73.061,18.426,15.531,1.321,98.257,0.037,0.016
2024-02-01,growth,300,8,171081.27,2043.77,0.645,71.102,18.298,12.667,1.305,98.564,0.027,0.012
2024-02-01,starter,303,15,35041.75,456.07,0.63,69.169,17.938,13.317,1.211,98.52,0.05,0.013
2024-03-01,business,171,4,387314.71,6670.93,0.642,70.21,18.248,15.023,1.306,98.231,0.023,0.017
2024-03-01,enterprise,85,3,944278.73,13899.35,0.654,72.013,17.8,12.788,1.506,98.385,0.035,0.015
2024-03-01,growth,311,13,177566.74,2758.21,0.641,71.126,18.037,13.273,1.3,98.071,0.042,0.016
2024-03-01,starter,313,16,35928.41,501.73,0.626,68.424,17.892,12.914,1.385,98.465,0.051,0.014
2024-04-01,business,174,4,399095.42,5595.84,0.654,73.12,17.944,12.552,1.122,98.553,0.023,0.014
2024-04-01,enterprise,87,2,994596.33,10029.3,0.643,70.765,17.641,11.943,1.395,98.966,0.023,0.01
2024-04-01,growth,317,6,184139.77,2294.07,0.64,71.099,18.144,12.073,1.385,98.564,0.019,0.012
2024-04-01,starter,317,11,36318.07,684.08,0.625,68.535,17.785,12.868,1.33,98.063,0.035,0.019
2024-05-01,business,179,2,412462.88,5250.42,0.644,71.585,18.235,14.352,1.354,98.771,0.011,0.013
2024-05-01,enterprise,92,4,1035500.16,16227.93,0.63,70.353,17.744,12.946,1.267,98.273,0.044,0.016
2024-05-01,growth,322,10,187161.32,2496.98,0.641,70.311,18.203,12.693,1.276,98.531,0.031,0.013
2024-05-01,starter,319,6,36750.77,526.46,0.618,67.784,17.686,13.138,1.289,98.32,0.019,0.014
2024-06-01,business,189,14,423600.96,7130.77,0.634,69.945,17.833,12.937,1.249,98.477,0.074,0.017
2024-06-01,enterprise,92,2,1058451.46,16155.04,0.629,68.651,17.251,11.641,1.253,98.3,0.022,0.015
2024-06-01,growth,333,16,201357.81,3324.27,0.628,68.901,17.782,11.505,1.296,98.372,0.048,0.016
2024-06-01,starter,326,17,37501.21,609.08,0.611,66.953,17.568,13.558,1.387,98.228,0.052,0.016
2024-07-01,business,184,4,413639.27,6995.74,0.633,69.102,18.17,13.777,1.367,98.241,0.022,0.017
2024-07-01,enterprise,91,4,1048770.08,19828.4,0.633,70.001,17.69,12.462,1.244,98.117,0.044,0.019
2024-07-01,growth,333,8,205089.64,2641.61,0.62,68.379,17.603,12.661,1.348,98.353,0.024,0.013
2024-07-01,starter,320,19,37260.43,708.52,0.608,67.476,17.107,14.822,1.267,97.945,0.059,0.019
2024-08-01,business,195,8,438374.91,7788.57,0.612,66.582,17.418,15.472,1.387,97.882,0.041,0.018
2024-08-01,enterprise,89,2,1062935.51,17785.64,0.634,67.602,18.193,14.618,1.307,98.182,0.022,0.017
2024-08-01,growth,339,15,199411.45,3313.96,0.616,68.007,17.369,13.44,1.238,97.957,0.044,0.017
2024-08-01,starter,315,18,36839.26,816.17,0.594,65.029,16.82,16.552,1.296,97.662,0.057,0.022
2024-09-01,business,202,6,462444.62,7479.22,0.61,65.758,17.391,13.307,1.259,98.124,0.03,0.016
2024-09-01,enterprise,91,3,1055701.55,14517.47,0.632,68.86,17.636,12.945,1.278,98.319,0.033,0.014
2024-09-01,growth,337,11,201692.54,3730.44,0.611,66.93,17.369,14.125,1.413,97.793,0.033,0.018
2024-09-01,starter,311,13,36705.69,712.31,0.601,65.625,17.098,13.627,1.228,97.957,0.042,0.019
2024-10-01,business,204,8,469291.59,8548.43,0.618,67.224,17.134,13.819,1.402,98.182,0.039,0.018
2024-10-01,enterprise,92,6,1123570.51,17410.36,0.643,70.059,17.687,13.076,1.22,98.33,0.065,0.016
2024-10-01,growth,344,21,209153.14,4039.24,0.618,67.581,17.654,12.89,1.294,97.621,0.061,0.019
2024-10-01,starter,311,11,37266.87,748.21,0.595,65.253,17.046,14.502,1.101,97.751,0.035,0.02
2024-11-01,business,206,10,479669.33,7147.87,0.629,67.685,18.142,12.913,1.366,98.393,0.048,0.015
2024-11-01,enterprise,86,4,1056524.3,13952.49,0.653,70.048,18.952,13.407,1.235,98.694,0.046,0.013
2024-11-01,growth,339,14,211026.48,2975.1,0.617,66.92,17.516,12.72,1.457,98.299,0.041,0.014
2024-11-01,starter,319,14,38201.46,710.62,0.613,67.589,17.486,15.712,1.293,97.737,0.044,0.019
2024-12-01,business,209,10,495288.43,6844.41,0.64,70.319,18.076,13.316,1.335,98.443,0.048,0.014
2024-12-01,enterprise,87,3,1090123.57,15252.63,0.655,70.457,18.657,11.678,1.151,98.325,0.034,0.014
2024-12-01,growth,348,17,218020.68,3160.09,0.623,69.132,17.474,13.451,1.324,98.261,0.049,0.014
2024-12-01,starter,321,10,39017.68,764.77,0.614,67.654,17.441,15.592,1.311,97.815,0.031,0.02
