snapshot_month,mrr_band,active_accounts,churned_accounts,total_mrr,total_revenue_at_risk,avg_product_health_score,avg_feature_adoption_rate,avg_usage_frequency,avg_days_since_last_login,avg_support_tickets,avg_renewal_probability,monthly_churn_rate,revenue_at_risk_rate
2022-08-01,low_mrr,148,4,17338.04,347.24,0.569,62.681,15.603,17.669,1.136,98.025,0.027,0.02
2022-08-01,mid_mrr,104,2,56018.43,954.46,0.599,67.33,16.154,17.442,1.233,98.247,0.019,0.017
2022-09-01,enterprise_mrr,31,2,317742.23,3499.18,0.572,62.285,16.435,14.032,1.097,98.777,0.064,0.011
2022-09-01,high_mrr,68,2,169682.32,2174.11,0.611,66.465,16.983,16.794,1.265,98.672,0.029,0.013
2022-09-01,low_mrr,167,8,19752.37,319.56,0.572,62.876,15.729,14.198,1.335,98.367,0.048,0.016
2022-09-01,mid_mrr,113,4,59933.36,1046.28,0.588,64.395,15.81,16.027,1.277,98.182,0.035,0.018
2022-10-01,enterprise_mrr,33,0,347707.22,5837.71,0.582,62.189,16.345,17.697,1.0,98.478,0.0,0.017
2022-10-01,high_mrr,75,5,184678.34,1879.29,0.597,63.861,16.776,13.853,1.36,99.005,0.067,0.01
2022-10-01,low_mrr,175,8,20531.79,321.6,0.581,62.913,16.413,14.686,1.366,98.336,0.046,0.016
2022-10-01,mid_mrr,123,5,64578.39,1030.21,0.602,66.225,16.382,14.081,1.132,98.246,0.041,0.016
2022-11-01,enterprise_mrr,35,0,375696.33,5527.15,0.606,65.871,16.868,17.514,1.343,98.714,0.0,0.015
2022-11-01,high_mrr,76,1,186708.8,2467.15,0.61,67.149,16.706,16.513,1.133,98.712,0.013,0.013
2022-11-01,low_mrr,180,10,21060.43,357.82,0.594,64.938,16.912,13.817,1.436,98.304,0.056,0.017
2022-11-01,mid_mrr,133,2,71488.71,1349.31,0.608,66.531,17.17,12.504,1.191,98.158,0.015,0.019
2022-12-01,enterprise_mrr,38,1,407594.01,9072.67,0.616,65.986,17.936,16.263,0.921,98.192,0.026,0.022
2022-12-01,high_mrr,83,5,199187.78,2189.85,0.624,68.459,17.562,14.422,1.476,98.883,0.06,0.011
2022-12-01,low_mrr,190,10,21678.35,367.68,0.599,66.296,17.003,13.479,1.205,98.215,0.053,0.017
2022-12-01,mid_mrr,143,8,75585.45,1144.72,0.62,68.687,17.364,11.636,1.331,98.537,0.056,0.015
2023-01-01,enterprise_mrr,40,0,428639.7,4029.56,0.633,68.816,17.36,16.7,1.026,98.904,0.0,0.009
2023-01-01,high_mrr,93,2,217714.97,2308.06,0.642,70.655,18.153,13.022,1.242,98.9,0.022,0.011
2023-01-01,low_mrr,209,5,23562.86,355.39,0.605,66.791,17.324,12.99,1.35,98.442,0.024,0.015
2023-01-01,mid_mrr,154,11,79500.55,1253.53,0.63,69.849,17.187,13.649,1.298,98.617,0.071,0.016
2023-02-01,enterprise_mrr,43,1,472971.87,6760.98,0.645,70.661,18.305,14.326,1.419,98.667,0.023,0.014
2023-02-01,high_mrr,101,3,239255.13,2477.09,0.649,72.404,17.753,11.911,1.465,98.87,0.03,0.01
2023-02-01,low_mrr,229,4,25599.22,338.01,0.608,67.888,17.071,13.585,1.396,98.602,0.018,0.013
2023-02-01,mid_mrr,167,3,88134.04,1183.35,0.632,70.436,17.893,15.629,1.277,98.636,0.018,0.013
2023-03-01,enterprise_mrr,48,1,518454.95,6938.48,0.649,69.985,18.042,11.646,1.208,98.659,0.021,0.013
2023-03-01,high_mrr,103,0,247845.66,2067.81,0.649,71.931,17.693,14.427,1.304,98.954,0.0,0.008
2023-03-01,low_mrr,252,12,28463.45,452.08,0.612,66.859,17.164,13.194,1.422,98.298,0.048,0.016
2023-03-01,mid_mrr,175,8,92396.09,1069.77,0.632,68.711,17.643,11.594,1.356,98.809,0.046,0.012
2023-04-01,enterprise_mrr,53,1,603205.65,4023.38,0.631,69.543,18.173,14.509,1.038,99.078,0.019,0.007
2023-04-01,high_mrr,111,3,268280.79,3552.71,0.635,70.943,17.827,11.0,1.491,98.243,0.027,0.013
2023-04-01,low_mrr,260,10,30704.91,420.33,0.613,68.341,17.585,13.723,1.31,98.486,0.038,0.014
2023-04-01,mid_mrr,187,7,99021.62,1479.76,0.632,69.261,17.757,13.636,1.222,98.63,0.037,0.015
2023-05-01,enterprise_mrr,58,0,617485.03,7600.64,0.628,69.181,17.705,11.397,1.389,98.695,0.0,0.012
2023-05-01,high_mrr,115,7,257875.92,2550.94,0.635,68.674,18.114,13.13,1.23,98.838,0.061,0.01
2023-05-01,low_mrr,284,12,33658.19,501.94,0.612,67.108,17.131,12.261,1.369,98.356,0.042,0.015
2023-05-01,mid_mrr,196,3,105004.55,1542.67,0.623,68.685,17.521,13.515,1.267,98.593,0.015,0.015
2023-06-01,enterprise_mrr,63,3,718458.92,13089.15,0.625,68.666,17.61,11.905,1.175,98.041,0.048,0.018
2023-06-01,high_mrr,120,2,272580.18,3579.51,0.631,69.209,18.139,12.683,1.227,98.655,0.017,0.013
2023-06-01,low_mrr,290,13,32897.88,599.57,0.6,65.71,17.007,16.031,1.3,98.168,0.045,0.018
2023-06-01,mid_mrr,208,10,110199.81,1834.86,0.626,68.473,17.184,13.25,1.275,98.321,0.048,0.017
2023-07-01,enterprise_mrr,64,3,760502.35,14442.15,0.624,67.367,17.058,15.375,1.29,98.226,0.047,0.019
2023-07-01,high_mrr,125,5,287844.06,2939.63,0.626,68.775,17.375,11.928,1.202,98.949,0.04,0.01
2023-07-01,low_mrr,297,13,34487.74,680.95,0.593,64.955,16.645,13.589,1.279,97.957,0.044,0.02
2023-07-01,mid_mrr,218,8,114737.84,1702.28,0.608,66.537,16.916,13.417,1.319,98.503,0.037,0.015
2023-08-01,enterprise_mrr,62,3,718573.51,12277.58,0.63,69.354,17.967,17.194,1.033,98.036,0.048,0.017
2023-08-01,high_mrr,130,4,288807.8,3039.24,0.629,67.821,17.426,12.523,1.305,98.834,0.031,0.01
2023-08-01,low_mrr,313,14,36015.39,504.06,0.585,63.654,16.632,13.55,1.203,98.407,0.045,0.014
2023-08-01,mid_mrr,221,6,115525.71,1683.44,0.608,65.965,16.742,13.643,1.183,98.493,0.027,0.015
2023-09-01,enterprise_mrr,72,3,861205.72,16130.75,0.612,66.208,16.512,13.861,1.239,98.214,0.042,0.019
2023-09-01,high_mrr,138,4,301390.39,4095.06,0.622,68.477,17.579,12.993,1.147,98.688,0.029,0.014
2023-09-01,low_mrr,320,17,37035.79,656.97,0.586,63.749,16.769,14.325,1.352,98.047,0.053,0.018
2023-09-01,mid_mrr,228,6,120424.77,2042.83,0.61,67.147,17.036,14.838,1.246,98.186,0.026,0.017
2023-10-01,enterprise_mrr,72,4,822603.58,12537.33,0.63,69.968,17.296,14.625,1.225,98.356,0.056,0.015
2023-10-01,high_mrr,145,4,310216.22,3574.6,0.624,67.69,17.506,14.179,1.262,98.854,0.028,0.012
2023-10-01,low_mrr,325,17,37597.09,686.15,0.592,64.193,16.871,13.298,1.245,98.149,0.052,0.018
2023-10-01,mid_mrr,237,5,125078.44,2174.72,0.608,66.806,17.35,14.641,1.242,98.271,0.021,0.017
2023-11-01,enterprise_mrr,73,4,813198.32,8558.71,0.645,69.048,18.109,14.589,1.438,98.965,0.055,0.01
2023-11-01,high_mrr,148,5,322178.6,3753.34,0.643,71.124,18.143,12.324,1.372,98.849,0.034,0.012
2023-11-01,low_mrr,335,15,39115.79,738.77,0.597,64.981,16.889,12.77,1.205,97.929,0.045,0.019
2023-11-01,mid_mrr,248,8,130391.76,2362.27,0.607,66.239,17.272,15.415,1.359,98.139,0.032,0.018
2023-12-01,enterprise_mrr,74,3,833258.2,10554.36,0.649,70.841,18.292,14.068,1.096,98.633,0.04,0.013
2023-12-01,high_mrr,155,1,344830.14,4548.96,0.651,71.789,17.661,10.561,1.271,98.674,0.006,0.013
2023-12-01,low_mrr,333,12,38354.98,643.25,0.611,67.332,17.508,13.192,1.268,98.284,0.036,0.017
2023-12-01,mid_mrr,260,13,134627.42,2404.58,0.614,67.809,17.555,13.854,1.279,98.09,0.05,0.018
2024-01-01,enterprise_mrr,76,3,860056.72,12187.53,0.66,72.913,18.448,10.013,1.368,98.699,0.04,0.014
2024-01-01,high_mrr,164,10,365801.78,4664.12,0.661,72.552,18.195,12.646,1.309,98.849,0.061,0.013
2024-01-01,low_mrr,331,19,38240.86,679.51,0.617,67.484,17.744,13.909,1.338,98.174,0.057,0.018
2024-01-01,mid_mrr,258,10,134120.03,2235.62,0.639,70.626,17.871,12.07,1.328,98.351,0.039,0.017
2024-02-01,enterprise_mrr,79,3,911804.29,13308.1,0.674,74.351,18.856,12.506,1.215,98.63,0.038,0.015
2024-02-01,high_mrr,166,6,366153.24,4558.56,0.671,73.883,18.732,12.699,1.383,98.746,0.036,0.012
2024-02-01,low_mrr,339,16,39775.65,565.81,0.627,68.663,17.885,13.646,1.22,98.469,0.047,0.014
2024-02-01,mid_mrr,263,7,136002.3,1951.95,0.634,70.106,18.099,13.247,1.286,98.498,0.027,0.014
2024-03-01,enterprise_mrr,83,2,981630.22,14734.37,0.677,74.594,18.44,12.41,1.333,98.349,0.024,0.015
2024-03-01,high_mrr,172,4,380287.5,5821.32,0.654,71.849,18.508,13.349,1.368,98.424,0.023,0.015
2024-03-01,low_mrr,352,15,41890.68,725.87,0.624,68.627,17.784,12.807,1.382,98.283,0.043,0.017
2024-03-01,mid_mrr,273,15,141280.19,2548.66,0.631,69.439,17.837,14.623,1.305,98.141,0.055,0.018
2024-04-01,enterprise_mrr,84,2,1028341.57,10178.24,0.67,74.671,18.347,11.012,1.193,99.066,0.024,0.01
2024-04-01,high_mrr,179,3,400587.56,5366.71,0.668,73.817,18.431,11.307,1.254,98.741,0.017,0.013
2024-04-01,low_mrr,362,12,43776.79,777.53,0.62,68.386,17.629,13.157,1.354,98.091,0.033,0.018
2024-04-01,mid_mrr,270,6,141443.67,2280.81,0.632,69.939,17.868,12.656,1.342,98.459,0.022,0.016
2024-05-01,enterprise_mrr,87,4,1065331.76,14818.08,0.659,72.707,18.697,11.793,1.19,98.728,0.046,0.014
2024-05-01,high_mrr,188,3,421576.12,7190.54,0.655,73.395,18.394,14.75,1.255,98.413,0.016,0.017
2024-05-01,low_mrr,367,9,44761.77,664.77,0.613,67.277,17.578,13.379,1.329,98.306,0.024,0.015
2024-05-01,mid_mrr,270,6,140205.48,1828.4,0.634,69.405,18.014,12.33,1.309,98.678,0.022,0.013
2024-06-01,enterprise_mrr,87,5,1091707.11,16873.04,0.664,72.21,18.419,10.828,1.276,98.381,0.058,0.016
2024-06-01,high_mrr,197,10,436300.23,7577.77,0.64,70.139,18.105,12.32,1.177,98.271,0.051,0.017
2024-06-01,low_mrr,376,19,45655.12,651.96,0.605,66.39,17.464,13.346,1.358,98.314,0.05,0.014
2024-06-01,mid_mrr,280,15,147248.98,2116.39,0.624,68.719,17.394,12.071,1.361,98.398,0.054,0.014
2024-07-01,enterprise_mrr,85,1,1077684.64,20336.42,0.659,72.96,18.596,11.729,1.226,98.119,0.012,0.019
2024-07-01,high_mrr,191,6,433217.84,6469.92,0.637,70.119,17.986,14.058,1.22,98.503,0.031,0.015
2024-07-01,low_mrr,374,20,46155.03,925.71,0.6,66.511,16.943,14.171,1.307,97.887,0.054,0.02
2024-07-01,mid_mrr,278,8,147701.91,2442.22,0.623,68.235,17.757,13.115,1.411,98.328,0.029,0.016
2024-08-01,enterprise_mrr,84,1,1091968.61,17070.1,0.653,70.146,18.359,14.679,1.313,98.508,0.012,0.016
2024-08-01,high_mrr,198,8,448527.96,8590.9,0.628,68.397,17.89,14.177,1.376,98.02,0.04,0.019
2024-08-01,low_mrr,372,21,46355.07,1010.55,0.591,64.789,16.709,15.804,1.311,97.665,0.056,0.022
2024-08-01,mid_mrr,284,13,150709.49,3032.79,0.608,66.907,17.26,14.68,1.212,97.824,0.046,0.02
2024-09-01,enterprise_mrr,87,0,1093401.28,14101.77,0.653,71.548,18.117,11.448,1.174,98.566,0.0,0.013
2024-09-01,high_mrr,206,8,466860.51,7978.09,0.622,66.859,17.827,14.33,1.252,98.265,0.039,0.017
2024-09-01,low_mrr,364,14,45667.03,936.35,0.591,64.414,16.726,14.78,1.247,97.844,0.038,0.02
2024-09-01,mid_mrr,284,11,150615.58,3423.23,0.611,67.124,17.436,12.451,1.461,97.733,0.039,0.023
2024-10-01,enterprise_mrr,91,4,1176266.62,19051.91,0.661,72.125,18.186,13.813,1.289,98.365,0.044,0.016
2024-10-01,high_mrr,210,8,467211.3,7089.15,0.633,68.367,17.661,12.576,1.3,98.333,0.038,0.015
2024-10-01,low_mrr,368,20,46437.36,1121.7,0.59,64.653,16.967,13.883,1.162,97.541,0.054,0.024
2024-10-01,mid_mrr,282,14,149366.83,3483.48,0.612,67.39,17.337,14.039,1.305,97.735,0.05,0.023
2024-11-01,enterprise_mrr,89,3,1124021.36,15018.62,0.668,72.079,19.351,12.596,1.284,98.763,0.034,0.013
2024-11-01,high_mrr,207,11,465086.44,6316.66,0.643,69.343,18.443,12.56,1.252,98.563,0.053,0.014
2024-11-01,low_mrr,372,18,46278.25,1002.75,0.603,66.201,17.188,15.882,1.317,97.616,0.048,0.022
2024-11-01,mid_mrr,282,10,150035.52,2448.05,0.617,66.72,17.549,12.44,1.527,98.413,0.036,0.016
2024-12-01,enterprise_mrr,95,3,1180775.82,15662.04,0.673,72.641,19.079,11.421,1.053,98.535,0.032,0.013
2024-12-01,high_mrr,205,9,460824.26,6959.5,0.65,71.813,18.097,13.298,1.402,98.438,0.044,0.015
2024-12-01,low_mrr,372,13,46435.58,992.19,0.601,66.229,17.097,15.352,1.315,97.766,0.035,0.021
2024-12-01,mid_mrr,293,15,154414.7,2408.17,0.628,69.384,17.74,13.526,1.312,98.338,0.051,0.016
