listing_id,seller_id,buyer_id,category,item_price,shipping_price,listing_age_days,views,likes,add_to_cart,purchased,seller_rating,buyer_returning,region,add_to_cart_invalid_flag,purchased_invalid_flag,buyer_returning_invalid_flag,add_to_cart_clean,purchased_clean,buyer_returning_clean,seller_rating_missing_flag,item_price_invalid_flag,views_invalid_flag,listing_age_days_invalid_flag,likes_invalid_flag,seller_rating_invalid_flag
49,190,578,clothing,75.83,2.99,33,15,4,0,0,4.31,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
50,51,75,clothing,45.96,3.49,3,24,5,1,0,4.46,yes,Tartu,False,False,False,1,0,1,False,False,False,False,False,False
51,108,435,clothing,20.33,4.99,13,4,4,0,0,5.0,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
52,55,103,clothing,13.15,5.99,1,13,2,0,0,4.57,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
53,244,422,electronics,5.44,2.99,1,21,3,1,0,4.54,no,Tallinn,False,False,False,1,0,0,False,False,False,False,False,False
54,64,306,clothing,14.83,3.49,15,49,4,0,0,4.27,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
55,249,98,home,21.16,4.99,15,15,5,0,0,3.94,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
56,131,335,clothing,12.29,4.99,38,10,4,0,0,,no,Narva,False,False,False,0,0,0,True,False,False,False,False,False
57,229,435,clothing,22.38,2.49,15,5,5,0,0,4.71,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
58,51,447,accessories,25.89,2.49,58,18,4,0,0,4.98,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
59,135,308,accessories,20.96,2.99,1,173,4,0,0,3.81,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
60,21,249,shoes,15.56,2.49,2,38,5,1,0,4.21,yes,Narva,False,False,False,1,0,1,False,False,False,False,False,False
61,73,166,bags,27.61,2.99,1,70,5,1,0,4.4,yes,Tallinn,False,False,False,1,0,1,False,False,False,False,False,False
62,167,481,accessories,33.43,5.99,4,13,3,0,0,4.6,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
63,18,335,clothing,11.44,2.99,14,7,3,0,0,4.55,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
64,132,542,home,65.87,2.49,19,10,2,0,0,4.56,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
65,89,106,home,22.9,5.99,1,27,1,0,0,4.74,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
66,60,563,accessories,24.86,2.49,53,5,6,0,1,4.28,yes,Other,False,False,False,0,1,1,False,False,False,False,False,False
67,14,81,clothing,40.28,2.99,33,12,3,0,0,,no,Other,False,False,False,0,0,0,True,False,False,False,False,False
68,242,133,accessories,28.88,3.49,6,18,3,0,1,,no,Tartu,False,False,False,0,1,0,True,False,False,False,False,False
69,9,138,clothing,47.81,4.99,1,9,3,1,0,4.49,yes,Pärnu,False,False,False,1,0,1,False,False,False,False,False,False
70,90,184,clothing,29.99,2.49,3,4,5,0,0,5.0,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
71,53,401,clothing,15.98,2.99,2,39,4,0,0,5.0,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
72,130,330,shoes,31.6,5.99,2,31,6,1,0,4.93,yes,Other,False,False,False,1,0,1,False,False,False,False,False,False
73,84,508,electronics,11.02,2.49,13,60,3,0,1,3.54,yes,Pärnu,False,False,False,0,1,1,False,False,False,False,False,False
74,92,69,accessories,26.47,2.49,5,11,1,0,0,5.0,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
75,111,546,accessories,23.97,4.99,8,59,3,0,0,4.88,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
76,188,53,shoes,21.21,2.99,82,119,7,0,0,5.0,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
77,199,450,clothing,22.42,3.49,21,38,5,1,0,5.0,yes,Other,False,False,False,1,0,1,False,False,False,False,False,False
78,172,205,shoes,6.57,5.99,54,17,4,0,0,5.0,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
79,8,126,home,16.71,2.99,3,34,6,0,0,4.91,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
80,175,43,clothing,26.18,5.99,9,17,6,0,0,5.0,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
81,35,111,electronics,27.44,2.49,15,14,2,0,1,5.0,no,Tallinn,False,False,False,0,1,0,False,False,False,False,False,False
82,206,663,bags,11.95,4.99,1,55,3,0,0,,yes,Pärnu,False,False,False,0,0,1,True,False,False,False,False,False
83,81,183,shoes,59.5,4.99,0,26,6,0,0,4.05,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
84,164,95,accessories,13.38,3.49,20,89,4,0,0,4.49,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
85,50,374,shoes,48.36,4.99,18,20,1,0,0,4.74,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
86,104,520,electronics,33.08,2.49,10,22,2,0,1,4.63,yes,Tartu,False,False,False,0,1,1,False,False,False,False,False,False
87,132,360,home,15.61,3.49,12,18,5,0,0,4.16,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
88,2,696,shoes,85.01,2.99,10,11,3,0,0,4.03,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
89,134,281,clothing,10.64,4.99,0,62,5,1,0,4.34,no,Narva,False,False,False,1,0,0,False,False,False,False,False,False
90,54,195,bags,46.68,3.49,7,214,4,1,0,,yes,Tartu,False,False,False,1,0,1,True,False,False,False,False,False
91,106,195,home,49.42,2.49,4,21,5,0,0,5.0,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
92,4,667,clothing,15.34,5.99,2,16,5,1,0,4.92,yes,Other,False,False,False,1,0,1,False,False,False,False,False,False
93,54,93,bags,65.02,5.99,57,15,3,0,0,4.97,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
94,221,672,bags,20.59,2.49,16,16,6,0,0,4.57,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
95,191,61,accessories,30.03,2.49,23,132,6,0,0,,no,Tallinn,False,False,False,0,0,0,True,False,False,False,False,False
96,146,634,clothing,29.44,5.99,7,16,4,0,0,4.44,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
97,218,51,accessories,22.33,3.49,9,18,2,0,0,4.51,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
98,44,403,home,43.27,5.99,5,10,3,0,0,4.43,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
99,162,5,clothing,42.75,2.49,2,39,5,1,0,4.62,no,Narva,False,False,False,1,0,0,False,False,False,False,False,False
100,202,466,clothing,7.21,4.99,4,28,5,1,0,4.75,no,Narva,False,False,False,1,0,0,False,False,False,False,False,False
101,190,604,home,61.13,2.99,29,11,3,0,0,4.9,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
102,228,682,clothing,7.66,4.99,20,13,3,0,1,4.5,no,Narva,False,False,False,0,1,0,False,False,False,False,False,False
103,14,534,electronics,50.54,4.99,14,119,3,0,0,3.93,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
104,95,405,shoes,53.98,2.49,12,31,2,0,0,4.43,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
105,48,513,clothing,11.43,5.99,46,33,4,0,0,4.62,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
106,15,645,electronics,18.4,3.49,1,33,1,0,0,5.0,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
107,200,233,shoes,11.31,4.99,6,105,6,0,0,4.4,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
108,206,524,shoes,21.11,5.99,8,12,5,0,1,4.78,no,Other,False,False,False,0,1,0,False,False,False,False,False,False
109,215,346,shoes,19.77,3.49,27,21,4,0,0,4.7,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
110,249,46,bags,42.34,4.99,88,26,2,0,0,,yes,Tallinn,False,False,False,0,0,1,True,False,False,False,False,False
111,190,546,clothing,61.39,3.49,5,6,4,0,0,4.93,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
112,40,78,shoes,65.17,5.99,37,13,5,0,0,4.37,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
113,213,73,home,16.55,2.99,32,77,5,1,0,4.4,no,Pärnu,False,False,False,1,0,0,False,False,False,False,False,False
114,208,249,clothing,21.19,5.99,5,59,5,0,0,4.6,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
115,237,47,accessories,7.55,2.49,9,70,6,1,0,4.38,no,Other,False,False,False,1,0,0,False,False,False,False,False,False
116,82,121,clothing,13.96,3.49,9,18,6,1,0,4.78,yes,Other,False,False,False,1,0,1,False,False,False,False,False,False
117,111,214,accessories,48.2,2.99,69,20,4,0,0,4.35,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
118,53,239,clothing,76.01,3.49,4,6,4,0,0,4.68,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
119,24,56,home,10.34,3.49,29,69,5,1,0,4.56,no,Tallinn,False,False,False,1,0,0,False,False,False,False,False,False
120,154,350,shoes,16.2,4.99,7,80,6,1,0,4.68,no,Tartu,False,False,False,1,0,0,False,False,False,False,False,False
121,217,107,clothing,24.08,2.49,24,79,4,0,0,4.44,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
122,188,48,clothing,29.85,3.49,10,127,6,0,0,4.48,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
123,124,573,clothing,13.92,5.99,16,44,2,0,0,4.63,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
124,237,337,shoes,33.01,5.99,32,122,3,0,0,4.67,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
125,41,26,clothing,17.61,4.99,29,25,4,0,0,4.6,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
126,157,257,electronics,24.29,2.49,36,6,5,1,0,5.0,yes,Narva,False,False,False,1,0,1,False,False,False,False,False,False
127,15,8,shoes,35.96,2.49,1,65,4,0,0,4.25,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
128,45,625,clothing,24.64,5.99,21,6,6,0,0,4.58,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
129,65,253,bags,18.08,2.99,3,35,2,0,0,4.05,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
130,89,692,accessories,22.72,4.99,10,71,7,0,0,4.73,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
131,71,303,clothing,23.06,4.99,14,40,2,0,0,4.21,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
132,9,639,clothing,18.93,5.99,9,233,3,1,0,4.5,no,Tallinn,False,False,False,1,0,0,False,False,False,False,False,False
133,88,56,clothing,20.47,5.99,13,5,7,0,0,4.47,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
134,129,526,accessories,75.12,2.99,102,28,2,0,0,4.7,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
135,236,474,accessories,36.33,2.99,3,30,3,0,0,4.41,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
136,136,28,shoes,19.95,2.49,20,9,2,0,0,4.39,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
137,216,78,electronics,39.96,4.99,9,11,5,0,0,5.0,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
138,63,216,electronics,19.42,4.99,3,14,1,0,0,4.7,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
139,139,386,bags,55.77,5.99,3,11,4,0,0,4.4,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
140,243,365,electronics,31.78,2.49,54,27,2,0,0,4.51,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
141,81,666,clothing,22.76,4.99,38,17,4,0,0,5.0,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
142,136,526,clothing,33.56,2.49,43,40,4,0,0,,no,Pärnu,False,False,False,0,0,0,True,False,False,False,False,False
143,163,699,clothing,8.17,2.49,86,54,3,1,0,4.36,yes,Narva,False,False,False,1,0,1,False,False,False,False,False,False
144,163,312,clothing,11.15,5.99,4,51,3,0,1,4.36,yes,Pärnu,False,False,False,0,1,1,False,False,False,False,False,False
145,33,7,bags,10.64,2.49,8,21,3,0,0,4.41,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
146,123,3,home,27.11,2.99,20,39,4,0,0,4.39,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
147,5,623,clothing,82.5,2.99,12,76,4,0,0,4.15,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
148,234,363,clothing,116.97,3.49,10,45,3,0,0,4.21,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
149,231,508,shoes,38.35,5.99,8,160,5,0,0,4.31,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
150,41,274,home,34.83,3.49,16,73,3,0,0,4.81,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
151,28,506,clothing,6.95,2.99,15,141,5,0,0,4.47,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
152,135,15,shoes,16.78,3.49,3,3,1,1,0,4.53,no,Other,False,False,False,1,0,0,False,False,False,False,False,False
153,201,192,clothing,14.13,5.99,11,33,6,0,0,5.0,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
154,72,631,clothing,15.89,5.99,15,22,6,0,0,5.0,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
155,12,485,home,21.81,2.49,15,27,2,0,0,4.5,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
156,162,28,home,17.63,4.99,4,15,6,1,0,4.38,yes,Other,False,False,False,1,0,1,False,False,False,False,False,False
157,33,39,clothing,6.14,2.49,24,43,6,1,1,4.3,no,Pärnu,False,False,False,1,1,0,False,False,False,False,False,False
158,48,273,home,41.41,5.99,0,6,4,0,0,4.84,no,Tallinn,False,False,False,0,0,0,False,False,False,False,False,False
159,247,231,bags,69.48,2.99,8,43,2,0,0,4.53,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
160,151,86,electronics,29.01,2.99,27,15,3,0,0,4.46,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
161,62,474,shoes,104.78,2.49,15,19,5,0,0,4.32,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
162,216,126,shoes,12.89,5.99,5,44,3,0,0,4.33,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
163,37,537,shoes,4.17,2.99,21,32,1,0,0,4.71,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
164,99,145,accessories,20.08,5.99,15,77,3,0,0,4.14,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
165,172,525,clothing,53.02,2.99,29,13,4,1,0,,no,Narva,False,False,False,1,0,0,True,False,False,False,False,False
166,104,212,clothing,96.63,5.99,24,28,4,1,0,4.41,yes,Tartu,False,False,False,1,0,1,False,False,False,False,False,False
167,214,25,clothing,10.37,3.49,17,67,5,0,0,4.55,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
168,219,580,accessories,34.73,5.99,12,41,4,0,0,4.13,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
169,35,394,clothing,17.71,5.99,3,44,1,1,0,4.6,yes,Tallinn,False,False,False,1,0,1,False,False,False,False,False,False
170,193,67,accessories,22.78,2.49,5,81,4,0,0,4.49,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
171,227,233,home,156.18,3.49,10,21,2,0,0,4.58,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
172,101,109,clothing,8.57,4.99,16,17,4,0,0,5.0,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
173,175,146,accessories,29.3,2.49,13,50,2,0,0,4.66,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
174,206,111,shoes,34.03,4.99,6,26,3,0,0,4.32,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
175,131,228,electronics,52.46,2.99,0,82,2,0,0,4.35,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
176,1,111,clothing,26.27,4.99,12,42,4,0,0,4.81,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
177,5,470,accessories,30.44,5.99,6,17,3,0,0,5.0,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
178,218,34,electronics,18.65,4.99,24,41,6,0,0,4.7,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
179,247,623,home,29.62,2.49,0,13,3,0,0,4.84,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
180,142,369,accessories,19.29,2.49,16,70,6,1,0,4.81,no,Tallinn,False,False,False,1,0,0,False,False,False,False,False,False
181,103,595,shoes,37.91,4.99,51,9,2,0,1,5.0,yes,Narva,False,False,False,0,1,1,False,False,False,False,False,False
182,27,554,bags,18.94,2.49,3,90,5,0,1,3.92,no,Tartu,False,False,False,0,1,0,False,False,False,False,False,False
183,137,425,electronics,31.94,2.49,11,40,4,0,0,4.83,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
184,207,613,bags,24.04,4.99,2,26,7,0,1,,no,Pärnu,False,False,False,0,1,0,True,False,False,False,False,False
185,15,518,clothing,53.96,3.49,18,60,4,0,0,4.13,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
186,90,692,home,23.67,3.49,14,47,2,0,0,4.29,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
187,42,282,accessories,7.09,2.99,9,99,4,0,0,4.3,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
188,124,320,accessories,59.34,2.49,13,98,8,0,0,4.34,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
189,205,443,clothing,13.01,4.99,41,41,3,0,0,4.43,yes,Narva,False,False,False,0,0,1,False,False,False,False,False,False
190,179,315,accessories,15.52,2.49,4,14,2,0,0,4.68,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
191,63,377,shoes,16.17,5.99,0,18,5,0,0,4.9,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
192,96,289,accessories,64.21,2.49,36,28,4,0,0,4.98,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
193,231,437,clothing,5.5,2.49,15,79,2,0,0,4.31,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
194,241,662,accessories,220.62,3.49,40,20,6,0,0,4.3,no,Tallinn,False,False,False,0,0,0,False,False,False,False,False,False
195,52,277,home,51.38,4.99,16,21,3,0,0,5.0,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
196,96,582,clothing,28.68,2.49,30,158,2,0,0,4.83,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
197,132,503,home,23.61,3.49,10,216,8,0,1,4.63,no,Tallinn,False,False,False,0,1,0,False,False,False,False,False,False
198,222,624,shoes,29.96,2.99,25,17,5,0,0,4.77,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
199,229,516,electronics,35.33,3.49,44,60,4,0,0,4.59,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
200,151,350,accessories,38.54,3.49,15,28,2,0,0,4.78,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
201,231,446,bags,36.2,3.49,4,9,3,0,0,4.48,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
202,237,350,accessories,26.12,2.49,6,76,6,1,0,4.69,yes,Other,False,False,False,1,0,1,False,False,False,False,False,False
203,143,607,electronics,21.37,2.49,4,15,0,0,1,4.07,yes,Other,False,False,False,0,1,1,False,False,False,False,False,False
204,171,664,shoes,22.07,2.99,5,31,3,0,0,4.36,yes,Pärnu,False,False,False,0,0,1,False,False,False,False,False,False
205,29,137,clothing,21.4,5.99,7,28,3,0,0,4.36,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
206,36,243,accessories,54.25,5.99,15,37,5,0,0,4.47,no,Other,False,False,False,0,0,0,False,False,False,False,False,False
207,13,543,electronics,37.17,5.99,16,4,0,0,0,4.28,no,Tartu,False,False,False,0,0,0,False,False,False,False,False,False
208,160,40,accessories,3.13,2.99,10,22,5,0,0,4.41,no,Narva,False,False,False,0,0,0,False,False,False,False,False,False
209,71,229,accessories,38.83,5.99,17,82,4,0,0,4.07,yes,Tartu,False,False,False,0,0,1,False,False,False,False,False,False
210,187,548,shoes,28.12,5.99,2,94,2,1,0,4.79,yes,Tartu,False,False,False,1,0,1,False,False,False,False,False,False
211,243,223,electronics,24.21,3.49,2,12,4,0,0,,yes,Pärnu,False,False,False,0,0,1,True,False,False,False,False,False
212,86,6,clothing,18.69,2.49,3,69,6,0,0,4.0,yes,Tallinn,False,False,False,0,0,1,False,False,False,False,False,False
213,28,322,bags,53.89,2.49,13,15,8,0,0,4.31,no,Pärnu,False,False,False,0,0,0,False,False,False,False,False,False
214,66,468,clothing,47.62,3.49,4,21,3,0,0,4.72,no,Tallinn,False,False,False,0,0,0,False,False,False,False,False,False
215,170,75,clothing,14.28,3.49,6,22,2,0,0,4.41,yes,Other,False,False,False,0,0,1,False,False,False,False,False,False
216,45,4,shoes,32.62,3.49,9,33,3,1,0,4.36,no,Pärnu,False,False,False,1,0,0,False,False,False,False,False,False
217,62,646,shoes,12.43,2.49,30,74,3,1,0,4.57,yes,Narva,False,False,False,1,0,1,False,False,False,False,False,False
