target,variable,method,correlation,abs_correlation,n,interpretation_warning
renewal_probability,usage_trend,pearson,0.065,0.065,22382,Same-month association only; not causal evidence.
renewal_probability,expansion_revenue,pearson,0.035,0.035,22382,Same-month association only; not causal evidence.
renewal_probability,monthly_recurring_revenue,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
renewal_probability,monthly_recurring_revenue,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
revenue_at_risk,monthly_recurring_revenue,pearson,0.417,0.417,22382,Same-month association only; not causal evidence.
revenue_at_risk,monthly_recurring_revenue,pearson,0.417,0.417,22382,Same-month association only; not causal evidence.
revenue_at_risk,renewal_probability,pearson,-0.338,0.338,22382,Same-month association only; not causal evidence.
revenue_at_risk,renewal_probability,pearson,-0.338,0.338,22382,Same-month association only; not causal evidence.
revenue_at_risk,active_users,pearson,0.249,0.249,22382,Same-month association only; not causal evidence.
revenue_at_risk,product_health_score,pearson,-0.149,0.149,22382,Same-month association only; not causal evidence.
revenue_at_risk,product_health_score,pearson,-0.149,0.149,22382,Same-month association only; not causal evidence.
revenue_at_risk,feature_adoption_rate,pearson,-0.143,0.143,21916,Same-month association only; not causal evidence.
revenue_at_risk,rolling_health_3m,pearson,-0.134,0.134,22382,Same-month association only; not causal evidence.
revenue_at_risk,rolling_usage_3m,pearson,-0.097,0.097,22382,Same-month association only; not causal evidence.
revenue_at_risk,usage_frequency,pearson,-0.096,0.096,22382,Same-month association only; not causal evidence.
revenue_at_risk,days_since_last_login,pearson,0.093,0.093,22382,Same-month association only; not causal evidence.
revenue_at_risk,onboarding_completion,pearson,-0.089,0.089,22382,Same-month association only; not causal evidence.
revenue_at_risk,expansion_revenue,pearson,0.082,0.082,22382,Same-month association only; not causal evidence.
revenue_at_risk,cohort_age_months,pearson,0.053,0.053,22382,Same-month association only; not causal evidence.
revenue_at_risk,engagement_trend,pearson,-0.052,0.052,22382,Same-month association only; not causal evidence.
revenue_at_risk,revenue_trend,pearson,-0.043,0.043,22382,Same-month association only; not causal evidence.
revenue_at_risk,churn_flag,pearson,0.033,0.033,22382,Same-month association only; not causal evidence.
revenue_at_risk,support_tickets,pearson,0.026,0.026,22120,Same-month association only; not causal evidence.
revenue_at_risk,usage_trend,pearson,-0.024,0.024,22382,Same-month association only; not causal evidence.
