leading_indicator,future_target,method,correlation,abs_correlation,n,time_relationship,interpretation_warning
onboarding_completion,next_month_product_health_score,pearson,0.575,0.575,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_product_health_score,pearson,0.568,0.568,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_product_health_score,pearson,-0.21,0.21,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_product_health_score,pearson,0.16,0.16,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_product_health_score,pearson,-0.055,0.055,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_product_health_score,pearson,0.032,0.032,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_product_health_score,pearson,0.012,0.012,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_renewal_probability,pearson,0.42,0.42,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_renewal_probability,pearson,0.41,0.41,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_renewal_probability,pearson,0.386,0.386,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_renewal_probability,pearson,0.335,0.335,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_renewal_probability,pearson,0.293,0.293,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_renewal_probability,pearson,0.264,0.264,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_renewal_probability,pearson,-0.116,0.116,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_renewal_probability,pearson,0.082,0.082,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_renewal_probability,pearson,-0.052,0.052,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_renewal_probability,pearson,0.036,0.036,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_renewal_probability,pearson,0.024,0.024,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_revenue_at_risk,pearson,0.262,0.262,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_revenue_at_risk,pearson,-0.118,0.118,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_revenue_at_risk,pearson,-0.118,0.118,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_revenue_at_risk,pearson,-0.116,0.116,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_revenue_at_risk,pearson,-0.088,0.088,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_revenue_at_risk,pearson,-0.082,0.082,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_revenue_at_risk,pearson,-0.075,0.075,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_revenue_at_risk,pearson,0.029,0.029,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_revenue_at_risk,pearson,0.02,0.02,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_revenue_at_risk,pearson,-0.018,0.018,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_revenue_at_risk,pearson,-0.002,0.002,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
