leading_indicator,future_target,method,correlation,abs_correlation,n,time_relationship,interpretation_warning
engagement_trend,next_month_mrr,spearman,-0.002,0.002,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_mrr,spearman,0.001,0.001,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_product_health_score,spearman,0.82,0.82,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_product_health_score,spearman,0.782,0.782,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_product_health_score,spearman,0.732,0.732,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_product_health_score,spearman,0.664,0.664,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_product_health_score,spearman,0.58,0.58,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_product_health_score,spearman,0.564,0.564,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_product_health_score,spearman,0.221,0.221,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_product_health_score,spearman,-0.19,0.19,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_product_health_score,spearman,-0.051,0.051,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_product_health_score,spearman,0.031,0.031,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_product_health_score,spearman,0.011,0.011,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_renewal_probability,spearman,0.405,0.405,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_renewal_probability,spearman,0.394,0.394,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_renewal_probability,spearman,0.389,0.389,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_renewal_probability,spearman,0.361,0.361,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_renewal_probability,spearman,0.28,0.28,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_renewal_probability,spearman,0.244,0.244,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_renewal_probability,spearman,0.114,0.114,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_renewal_probability,spearman,-0.09,0.09,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_renewal_probability,spearman,-0.05,0.05,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_renewal_probability,spearman,0.026,0.026,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_renewal_probability,spearman,0.019,0.019,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_health_3m,next_month_revenue_at_risk,spearman,-0.367,0.367,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
onboarding_completion,next_month_revenue_at_risk,spearman,-0.36,0.36,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
product_health_score,next_month_revenue_at_risk,spearman,-0.352,0.352,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
feature_adoption_rate,next_month_revenue_at_risk,spearman,-0.328,0.328,20141,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
rolling_usage_3m,next_month_revenue_at_risk,spearman,-0.252,0.252,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_frequency,next_month_revenue_at_risk,spearman,-0.219,0.219,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
days_since_last_login,next_month_revenue_at_risk,spearman,0.078,0.078,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
support_tickets,next_month_revenue_at_risk,spearman,0.046,0.046,20352,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
active_users,next_month_revenue_at_risk,spearman,0.026,0.026,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
engagement_trend,next_month_revenue_at_risk,spearman,-0.025,0.025,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
usage_trend,next_month_revenue_at_risk,spearman,-0.017,0.017,20582,current_month_indicator_to_next_month_target,Temporal ordering improves forecasting relevance but does not prove causality.
