target,variable,method,correlation,abs_correlation,n,interpretation_warning
churn_flag,onboarding_completion,spearman,-0.096,0.096,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,onboarding_completion,spearman,0.183,0.183,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,rolling_health_3m,spearman,0.152,0.152,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,product_health_score,spearman,0.141,0.141,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,product_health_score,spearman,0.141,0.141,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,feature_adoption_rate,spearman,0.121,0.121,21916,Same-month association only; not causal evidence.
monthly_recurring_revenue,rolling_usage_3m,spearman,0.11,0.11,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,usage_frequency,spearman,0.092,0.092,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,revenue_at_risk,spearman,0.078,0.078,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,revenue_at_risk,spearman,0.078,0.078,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,renewal_probability,spearman,0.077,0.077,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,renewal_probability,spearman,0.077,0.077,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,cohort_age_months,spearman,0.072,0.072,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,expansion_revenue,spearman,0.065,0.065,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,revenue_trend,spearman,0.051,0.051,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,days_since_last_login,spearman,-0.031,0.031,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,churn_flag,spearman,-0.026,0.026,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,support_tickets,spearman,-0.014,0.014,22120,Same-month association only; not causal evidence.
monthly_recurring_revenue,usage_trend,spearman,0.002,0.002,22382,Same-month association only; not causal evidence.
monthly_recurring_revenue,engagement_trend,spearman,0.001,0.001,22382,Same-month association only; not causal evidence.
product_health_score,rolling_health_3m,spearman,0.928,0.928,22382,Same-month association only; not causal evidence.
product_health_score,feature_adoption_rate,spearman,0.891,0.891,21916,Same-month association only; not causal evidence.
product_health_score,rolling_usage_3m,spearman,0.775,0.775,22382,Same-month association only; not causal evidence.
product_health_score,usage_frequency,spearman,0.746,0.746,22382,Same-month association only; not causal evidence.
product_health_score,onboarding_completion,spearman,0.585,0.585,22382,Same-month association only; not causal evidence.
product_health_score,renewal_probability,spearman,0.464,0.464,22382,Same-month association only; not causal evidence.
product_health_score,renewal_probability,spearman,0.464,0.464,22382,Same-month association only; not causal evidence.
product_health_score,revenue_at_risk,spearman,-0.426,0.426,22382,Same-month association only; not causal evidence.
product_health_score,revenue_at_risk,spearman,-0.426,0.426,22382,Same-month association only; not causal evidence.
product_health_score,engagement_trend,spearman,0.3,0.3,22382,Same-month association only; not causal evidence.
product_health_score,cohort_age_months,spearman,0.259,0.259,22382,Same-month association only; not causal evidence.
product_health_score,revenue_trend,spearman,0.259,0.259,22382,Same-month association only; not causal evidence.
product_health_score,days_since_last_login,spearman,-0.258,0.258,22382,Same-month association only; not causal evidence.
product_health_score,active_users,spearman,0.243,0.243,22382,Same-month association only; not causal evidence.
product_health_score,expansion_revenue,spearman,0.222,0.222,22382,Same-month association only; not causal evidence.
product_health_score,usage_trend,spearman,0.147,0.147,22382,Same-month association only; not causal evidence.
product_health_score,monthly_recurring_revenue,spearman,0.141,0.141,22382,Same-month association only; not causal evidence.
product_health_score,monthly_recurring_revenue,spearman,0.141,0.141,22382,Same-month association only; not causal evidence.
product_health_score,churn_flag,spearman,-0.092,0.092,22382,Same-month association only; not causal evidence.
product_health_score,support_tickets,spearman,-0.073,0.073,22120,Same-month association only; not causal evidence.
renewal_probability,revenue_at_risk,spearman,-0.96,0.96,22382,Same-month association only; not causal evidence.
renewal_probability,revenue_at_risk,spearman,-0.96,0.96,22382,Same-month association only; not causal evidence.
renewal_probability,product_health_score,spearman,0.464,0.464,22382,Same-month association only; not causal evidence.
renewal_probability,product_health_score,spearman,0.464,0.464,22382,Same-month association only; not causal evidence.
renewal_probability,rolling_health_3m,spearman,0.437,0.437,22382,Same-month association only; not causal evidence.
renewal_probability,feature_adoption_rate,spearman,0.409,0.409,21916,Same-month association only; not causal evidence.
renewal_probability,onboarding_completion,spearman,0.396,0.396,22382,Same-month association only; not causal evidence.
renewal_probability,rolling_usage_3m,spearman,0.308,0.308,22382,Same-month association only; not causal evidence.
renewal_probability,usage_frequency,spearman,0.304,0.304,22382,Same-month association only; not causal evidence.
renewal_probability,days_since_last_login,spearman,-0.168,0.168,22382,Same-month association only; not causal evidence.
renewal_probability,revenue_trend,spearman,0.16,0.16,22382,Same-month association only; not causal evidence.
renewal_probability,engagement_trend,spearman,0.138,0.138,22382,Same-month association only; not causal evidence.
renewal_probability,active_users,spearman,0.124,0.124,22382,Same-month association only; not causal evidence.
renewal_probability,expansion_revenue,spearman,0.093,0.093,22382,Same-month association only; not causal evidence.
renewal_probability,churn_flag,spearman,-0.083,0.083,22382,Same-month association only; not causal evidence.
renewal_probability,monthly_recurring_revenue,spearman,0.077,0.077,22382,Same-month association only; not causal evidence.
renewal_probability,monthly_recurring_revenue,spearman,0.077,0.077,22382,Same-month association only; not causal evidence.
renewal_probability,support_tickets,spearman,-0.069,0.069,22120,Same-month association only; not causal evidence.
renewal_probability,usage_trend,spearman,0.067,0.067,22382,Same-month association only; not causal evidence.
renewal_probability,cohort_age_months,spearman,-0.061,0.061,22382,Same-month association only; not causal evidence.
revenue_at_risk,renewal_probability,spearman,-0.96,0.96,22382,Same-month association only; not causal evidence.
revenue_at_risk,renewal_probability,spearman,-0.96,0.96,22382,Same-month association only; not causal evidence.
revenue_at_risk,product_health_score,spearman,-0.426,0.426,22382,Same-month association only; not causal evidence.
revenue_at_risk,product_health_score,spearman,-0.426,0.426,22382,Same-month association only; not causal evidence.
revenue_at_risk,rolling_health_3m,spearman,-0.399,0.399,22382,Same-month association only; not causal evidence.
revenue_at_risk,feature_adoption_rate,spearman,-0.375,0.375,21916,Same-month association only; not causal evidence.
revenue_at_risk,onboarding_completion,spearman,-0.362,0.362,22382,Same-month association only; not causal evidence.
revenue_at_risk,usage_frequency,spearman,-0.278,0.278,22382,Same-month association only; not causal evidence.
revenue_at_risk,rolling_usage_3m,spearman,-0.278,0.278,22382,Same-month association only; not causal evidence.
revenue_at_risk,days_since_last_login,spearman,0.148,0.148,22382,Same-month association only; not causal evidence.
revenue_at_risk,revenue_trend,spearman,-0.146,0.146,22382,Same-month association only; not causal evidence.
revenue_at_risk,engagement_trend,spearman,-0.13,0.13,22382,Same-month association only; not causal evidence.
revenue_at_risk,expansion_revenue,spearman,-0.085,0.085,22382,Same-month association only; not causal evidence.
revenue_at_risk,monthly_recurring_revenue,spearman,0.078,0.078,22382,Same-month association only; not causal evidence.
revenue_at_risk,monthly_recurring_revenue,spearman,0.078,0.078,22382,Same-month association only; not causal evidence.
revenue_at_risk,churn_flag,spearman,0.072,0.072,22382,Same-month association only; not causal evidence.
revenue_at_risk,support_tickets,spearman,0.065,0.065,22120,Same-month association only; not causal evidence.
revenue_at_risk,usage_trend,spearman,-0.064,0.064,22382,Same-month association only; not causal evidence.
revenue_at_risk,cohort_age_months,spearman,0.061,0.061,22382,Same-month association only; not causal evidence.
revenue_at_risk,active_users,spearman,0.016,0.016,22382,Same-month association only; not causal evidence.
