customer_id,region,income_band,employment_type,monthly_income,loan_balance,monthly_payment,loan_to_income_ratio,credit_utilization_percent,risk_score,risk_tier,missed_payments_last_6m,days_late_average,missed_payment_last_30d,prior_delinquency_flag,current_delinquency_flag,autopay_enabled,support_contact_last_30d,hardship_program_enrolled,intervention_group,repayment_plan_type,payment_recovery_flag,repayment_probability_score,autopay_enabled_invalid_flag,missed_payment_last_30d_invalid_flag,prior_delinquency_flag_invalid_flag,current_delinquency_flag_invalid_flag,hardship_program_enrolled_invalid_flag,payment_recovery_flag_invalid_flag,support_contact_last_30d_invalid_flag,autopay_enabled_clean,missed_payment_last_30d_clean,prior_delinquency_flag_clean,current_delinquency_flag_clean,hardship_program_enrolled_clean,payment_recovery_flag_clean,support_contact_last_30d_clean,employment_type_missing_flag,monthly_income_missing_flag,monthly_income_invalid_flag,loan_balance_invalid_flag,monthly_payment_invalid_flag,loan_to_income_ratio_invalid_flag,credit_utilization_percent_invalid_flag,missed_payments_last_6m_invalid_flag,days_late_average_invalid_flag,risk_score_invalid_flag,repayment_probability_score_invalid_flag
11,Tallinn,lower_mid,gig_worker,2104.7,2998.97,249.91,1.42,77.86,0.341,low_risk,1,1.0,0,0,0,0,0,0,none,standard,0,0.707,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
12,Other,mid,student,1549.49,18058.36,1003.24,11.65,27.46,0.545,medium_risk,3,5.7,0,0,0,1,0,1,none,restructured,1,0.695,False,False,False,False,False,False,False,1,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False
13,Pärnu,lower_mid,salaried,,1141.33,47.56,1.33,36.01,0.323,low_risk,0,4.0,0,0,1,1,1,0,none,standard,1,0.615,False,False,False,False,False,False,False,1,0,0,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False
14,Tallinn,lower_mid,gig_worker,1460.95,4418.8,245.49,3.02,52.17,0.339,low_risk,0,11.1,1,0,0,1,1,0,none,standard,1,0.787,False,False,False,False,False,False,False,1,1,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
15,Tallinn,mid,salaried,2337.72,3590.56,299.21,1.54,47.05,0.418,low_risk,2,12.6,0,1,1,1,0,1,sms_reminder,restructured,0,0.572,False,False,False,False,False,False,False,1,0,1,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False
16,Tallinn,upper_mid,salaried,3708.38,2798.88,233.24,0.75,66.49,0.296,low_risk,2,4.4,0,0,0,1,0,0,sms_reminder,standard,0,0.807,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
17,Tallinn,lower_mid,unemployed,2246.76,2506.78,104.45,1.12,83.03,0.359,low_risk,2,1.8,0,1,1,1,0,1,repayment_call,grace_period,0,0.598,False,False,False,False,False,False,False,1,0,1,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False
18,Tartu,low,salaried,545.47,4208.16,175.34,7.71,53.91,0.549,medium_risk,3,5.9,1,0,0,0,0,0,sms_reminder,standard,1,0.613,False,False,False,False,False,False,False,0,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
19,Tartu,lower_mid,unemployed,1843.33,3571.9,595.32,1.94,57.25,0.428,low_risk,1,28.0,0,0,0,1,1,0,sms_reminder,standard,0,0.747,False,False,False,False,False,False,False,1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False
20,Tallinn,mid,salaried,1478.48,3152.95,525.49,2.13,43.71,0.274,low_risk,0,8.1,0,0,0,1,0,0,none,standard,1,0.817,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
21,Tartu,mid,gig_worker,2761.5,1597.12,88.73,0.58,22.36,0.283,low_risk,1,2.3,0,0,0,0,0,0,none,standard,1,0.733,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
22,Tallinn,mid,salaried,1803.9,1256.92,69.83,0.7,55.51,0.348,low_risk,2,3.6,0,0,0,1,0,0,sms_reminder,standard,0,0.783,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
23,Tallinn,upper_mid,salaried,2543.27,3407.09,283.92,1.34,21.14,0.241,low_risk,2,3.3,0,0,0,1,0,0,sms_reminder,restructured,1,0.832,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
24,Tallinn,mid,salaried,1727.66,3128.87,173.83,1.81,29.58,0.199,low_risk,0,3.8,0,0,0,0,0,0,none,standard,1,0.77,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
25,Tartu,mid,self_employed,1322.26,3649.05,101.36,2.76,53.48,0.388,low_risk,0,0.6,0,0,0,0,0,1,repayment_call,restructured,1,0.685,False,False,False,False,False,False,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False
26,Pärnu,lower_mid,salaried,1418.23,3899.23,216.62,2.75,38.07,0.405,low_risk,0,4.6,1,0,0,1,0,0,repayment_call,standard,1,0.758,False,False,False,False,False,False,False,1,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
27,Tallinn,low,self_employed,741.89,2858.7,238.22,3.85,76.26,0.541,medium_risk,2,9.4,1,1,0,0,0,0,repayment_call,standard,1,0.617,False,False,False,False,False,False,False,0,1,1,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
28,Tartu,high,salaried,6687.73,3607.23,150.3,0.54,28.9,0.324,low_risk,0,16.4,1,0,0,1,0,0,none,standard,1,0.794,False,False,False,False,False,False,False,1,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
29,Tartu,lower_mid,salaried,1718.22,2230.22,185.85,1.3,43.78,0.373,low_risk,0,13.7,0,0,0,0,0,0,repayment_call,standard,1,0.692,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
30,Tallinn,low,salaried,1630.55,13266.0,1105.5,8.14,36.4,0.703,high_risk,1,5.4,0,0,0,1,1,0,repayment_call,standard,0,0.624,False,False,False,False,False,False,False,1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False
31,Tartu,mid,salaried,2361.18,2322.02,129.0,0.98,48.84,0.363,low_risk,1,1.6,1,1,0,1,0,0,none,standard,0,0.777,False,False,False,False,False,False,False,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
32,Tallinn,lower_mid,gig_worker,1653.82,3202.75,177.93,1.94,36.76,0.407,low_risk,3,6.3,1,0,0,1,1,0,none,standard,1,0.757,False,False,False,False,False,False,False,1,1,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
33,Tallinn,mid,student,3286.98,2458.14,68.28,0.75,81.83,0.349,low_risk,4,9.0,0,0,0,0,1,0,none,standard,0,0.703,False,False,False,False,False,False,False,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False
34,Other,mid,salaried,1717.87,2427.37,202.28,1.41,53.87,0.228,low_risk,1,1.7,0,1,0,1,0,0,sms_reminder,standard,1,0.837,False,False,False,False,False,False,False,1,0,1,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
35,Other,lower_mid,salaried,869.56,4309.09,718.18,4.96,7.8,0.327,low_risk,2,3.9,0,0,0,0,0,0,none,standard,0,0.713,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
36,Pärnu,mid,gig_worker,2238.86,3917.95,108.83,1.75,54.52,0.423,low_risk,3,2.4,0,0,0,1,1,0,none,restructured,1,0.75,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
37,Tallinn,lower_mid,salaried,888.01,2997.11,249.76,3.38,41.54,0.45,low_risk,1,7.7,0,0,1,1,0,0,none,standard,1,0.558,False,False,False,False,False,False,False,1,0,0,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False
38,Tallinn,lower_mid,salaried,3070.17,3419.99,285.0,1.11,20.36,0.369,low_risk,3,4.6,1,0,1,0,0,0,none,standard,0,0.514,False,False,False,False,False,False,False,0,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False
39,Narva,mid,salaried,3345.77,2465.48,136.97,0.74,9.45,0.135,low_risk,0,0.4,0,0,0,1,0,0,none,standard,1,0.879,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
40,Tartu,mid,salaried,4197.17,5717.54,158.82,1.36,16.71,0.315,low_risk,1,5.3,0,0,1,1,1,1,none,restructured,0,0.618,False,False,False,False,False,False,False,1,0,0,1,1,0,1,False,False,False,False,False,False,False,False,False,False,False
41,Tallinn,mid,salaried,2142.39,19759.6,1097.76,9.22,3.11,0.547,medium_risk,2,4.7,0,0,1,1,1,0,none,standard,0,0.514,False,False,False,False,False,False,False,1,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False
42,Tartu,lower_mid,salaried,1669.72,2194.85,182.9,1.31,13.68,0.269,low_risk,1,14.0,0,0,1,1,0,0,none,standard,0,0.639,False,False,False,False,False,False,False,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False
43,Tallinn,mid,self_employed,1812.86,5684.35,315.8,3.14,32.99,0.344,low_risk,0,6.6,0,0,0,1,0,0,sms_reminder,grace_period,1,0.785,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
44,Other,low,salaried,1260.16,4375.22,121.53,3.47,29.03,0.401,low_risk,1,3.7,0,0,0,1,1,0,sms_reminder,standard,1,0.76,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
45,Tallinn,upper_mid,salaried,2236.58,6984.67,291.03,3.12,67.85,0.4,low_risk,2,0.8,1,1,0,1,1,0,none,restructured,1,0.76,False,False,False,False,False,False,False,1,1,1,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
46,Narva,lower_mid,salaried,620.45,7133.77,594.48,11.5,13.71,0.557,medium_risk,0,3.3,0,0,0,1,0,0,sms_reminder,standard,1,0.689,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
47,Tallinn,mid,salaried,,4934.76,205.62,3.03,38.94,0.377,low_risk,2,4.0,0,0,0,1,0,0,repayment_call,standard,1,0.77,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False
48,Tartu,low,salaried,596.28,4105.71,171.07,6.89,46.71,0.606,medium_risk,5,10.3,1,0,0,1,0,0,repayment_call,standard,0,0.667,False,False,False,False,False,False,False,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
49,Tartu,lower_mid,student,2246.58,3053.86,169.66,1.36,34.52,0.333,low_risk,2,3.0,0,0,0,1,0,0,none,grace_period,0,0.79,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
50,Tallinn,lower_mid,salaried,2503.0,2383.39,132.41,0.95,22.02,0.214,low_risk,1,2.3,0,0,0,0,0,0,sms_reminder,standard,1,0.764,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
51,Other,upper_mid,self_employed,2106.41,3933.82,327.82,1.87,19.84,0.349,low_risk,2,8.1,0,0,0,0,0,0,none,standard,0,0.703,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
52,Pärnu,mid,salaried,3174.93,1614.14,89.67,0.51,33.74,0.171,low_risk,0,0.7,0,0,0,0,0,0,none,standard,1,0.783,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
53,Other,upper_mid,self_employed,4474.37,2709.74,112.91,0.61,30.5,0.212,low_risk,0,5.7,1,0,0,0,0,0,none,standard,1,0.765,False,False,False,False,False,False,False,0,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
54,Other,lower_mid,self_employed,,9702.51,808.54,11.45,28.83,0.545,medium_risk,3,12.9,1,1,1,1,1,0,none,standard,1,0.515,False,False,False,False,False,False,False,1,1,1,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False
55,Tartu,lower_mid,salaried,1235.64,4554.56,379.55,3.69,22.3,0.395,low_risk,1,3.1,0,1,1,1,1,0,none,standard,0,0.582,False,False,False,False,False,False,False,1,0,1,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False
56,Other,low,gig_worker,789.03,8262.63,688.55,10.47,25.0,0.584,medium_risk,1,7.6,0,0,0,1,0,0,sms_reminder,standard,1,0.677,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
57,Tallinn,mid,salaried,2667.91,12736.57,530.69,4.77,36.59,0.443,low_risk,1,4.8,0,0,0,1,1,0,none,standard,1,0.741,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
58,Tallinn,lower_mid,,944.84,3704.22,205.79,3.92,18.99,0.427,low_risk,6,5.0,0,0,0,1,0,0,sms_reminder,standard,1,0.748,False,False,False,False,False,False,False,1,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False
59,Tallinn,upper_mid,salaried,3197.22,4941.85,274.55,1.55,59.82,0.35,low_risk,2,13.2,0,1,1,1,0,1,sms_reminder,restructured,1,0.602,False,False,False,False,False,False,False,1,0,1,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False
60,Tallinn,upper_mid,unemployed,2649.64,3373.19,140.55,1.27,29.85,0.356,low_risk,2,7.9,1,0,0,1,0,0,sms_reminder,standard,0,0.78,False,False,False,False,False,False,False,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
61,Tallinn,upper_mid,gig_worker,3839.69,2299.73,95.82,0.6,52.39,0.2,low_risk,1,4.0,0,0,0,1,0,0,none,standard,1,0.85,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
62,Tallinn,mid,unemployed,1959.25,2069.94,57.5,1.06,79.79,0.182,low_risk,0,11.2,0,0,0,1,0,0,none,standard,0,0.858,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
63,Pärnu,mid,salaried,1769.43,7961.42,1326.9,4.5,34.24,0.392,low_risk,1,6.0,0,0,0,0,0,0,sms_reminder,standard,0,0.684,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
64,Tallinn,mid,salaried,1961.45,4946.67,274.82,2.52,55.15,0.485,medium_risk,0,1.9,1,0,0,1,0,0,none,standard,1,0.722,False,False,False,False,False,False,False,1,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
65,Tallinn,low,gig_worker,1822.56,16898.03,704.08,9.27,52.85,0.679,medium_risk,3,1.4,1,0,0,0,0,0,repayment_call,restructured,1,0.554,False,False,False,False,False,False,False,0,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
66,Tartu,mid,student,1837.73,8769.53,730.79,4.77,53.02,0.445,low_risk,1,9.2,0,1,0,1,0,0,none,standard,1,0.74,False,False,False,False,False,False,False,1,0,1,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
67,Tallinn,low,unemployed,680.85,2444.49,203.71,3.59,38.18,0.461,medium_risk,1,1.0,0,0,0,0,0,0,none,standard,0,0.653,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
68,Pärnu,lower_mid,salaried,1687.37,7944.67,662.06,4.71,30.49,0.356,low_risk,0,2.7,0,0,0,1,1,0,none,standard,1,0.78,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
69,Tallinn,low,gig_worker,907.36,3365.03,140.21,3.71,40.32,0.436,low_risk,1,1.0,0,1,0,1,0,1,none,grace_period,0,0.744,False,False,False,False,False,False,False,1,0,1,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False
70,Other,lower_mid,,890.12,10536.96,585.39,11.84,13.03,0.541,medium_risk,4,7.1,0,1,0,0,1,0,none,standard,0,0.617,False,False,False,False,False,False,False,0,0,1,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False
71,Pärnu,lower_mid,salaried,2859.23,2937.31,163.18,1.03,44.77,0.38,low_risk,0,0.9,0,0,0,1,1,0,none,restructured,0,0.769,False,False,False,False,False,False,False,1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False
72,Tallinn,lower_mid,salaried,1250.67,1921.15,160.1,1.54,66.81,0.391,low_risk,0,8.9,1,1,0,1,1,0,none,standard,1,0.764,False,False,False,False,False,False,False,1,1,1,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
73,Tallinn,mid,salaried,1860.82,2328.98,194.08,1.25,49.17,0.265,low_risk,3,4.3,0,0,0,1,0,0,none,standard,1,0.821,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
74,Pärnu,low,unemployed,999.85,2419.95,67.22,2.42,34.3,0.34,low_risk,0,4.1,1,0,0,1,1,0,none,standard,1,0.787,False,False,False,False,False,False,False,1,1,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
75,Narva,mid,salaried,3653.09,2252.53,187.71,0.62,21.09,0.292,low_risk,0,5.4,0,0,0,1,0,1,none,restructured,0,0.809,False,False,False,False,False,False,False,1,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False
76,Narva,lower_mid,self_employed,817.87,2753.27,152.96,3.37,38.61,0.441,low_risk,1,6.6,0,0,0,0,0,0,repayment_call,standard,0,0.662,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
77,Pärnu,mid,self_employed,2293.9,8042.69,670.22,3.51,26.75,0.355,low_risk,1,11.7,0,0,0,0,0,0,none,standard,0,0.7,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
78,Tallinn,mid,salaried,4095.4,16269.27,1355.77,3.97,67.68,0.554,medium_risk,6,10.1,0,1,1,0,0,0,none,standard,1,0.431,False,False,False,False,False,False,False,0,0,1,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False
79,Tallinn,mid,salaried,2188.31,1559.87,43.33,0.71,53.44,0.341,low_risk,1,0.7,0,0,0,1,0,0,sms_reminder,restructured,1,0.787,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
80,Tallinn,mid,salaried,1414.29,10912.18,303.12,7.72,34.27,0.504,medium_risk,2,7.0,0,0,0,0,0,1,sms_reminder,restructured,1,0.633,False,False,False,False,False,False,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False
81,Other,lower_mid,salaried,,2956.38,246.36,2.57,27.97,0.324,low_risk,0,9.6,0,0,0,0,0,0,none,standard,1,0.714,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False
82,Tartu,mid,gig_worker,2243.73,5491.25,457.6,2.45,14.78,0.446,low_risk,1,6.8,0,0,0,1,0,0,none,standard,1,0.739,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
83,Tallinn,lower_mid,unemployed,2143.26,1223.4,101.95,0.57,29.93,0.307,low_risk,1,2.1,1,0,0,1,0,0,sms_reminder,standard,0,0.802,False,False,False,False,False,False,False,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
84,Tallinn,lower_mid,salaried,,6266.83,522.24,4.99,19.77,0.465,medium_risk,0,2.0,0,0,0,1,0,0,none,standard,0,0.731,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False
85,Tallinn,mid,salaried,2735.91,940.13,52.23,0.34,56.3,0.18,low_risk,1,9.3,0,0,0,1,0,0,none,standard,0,0.859,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
86,Tallinn,low,salaried,600.13,5353.21,297.4,8.92,41.01,0.642,medium_risk,1,4.4,0,0,0,0,0,1,sms_reminder,grace_period,1,0.571,False,False,False,False,False,False,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False
87,Narva,mid,gig_worker,1323.06,5130.42,213.77,3.88,49.75,0.397,low_risk,0,2.7,0,0,1,1,1,0,none,standard,0,0.581,False,False,False,False,False,False,False,1,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False
88,Tartu,mid,salaried,1799.38,4881.73,203.41,2.71,33.58,0.432,low_risk,0,7.2,0,0,0,1,0,0,none,standard,0,0.746,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
89,Other,lower_mid,salaried,2218.08,2437.72,203.14,1.1,16.7,0.328,low_risk,1,2.8,0,0,0,0,1,0,none,standard,0,0.712,False,False,False,False,False,False,False,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False
90,Tartu,low,salaried,971.17,6387.8,266.16,6.58,27.71,0.506,medium_risk,0,3.5,1,0,1,1,1,1,none,grace_period,1,0.532,False,False,False,False,False,False,False,1,1,0,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False
91,Tallinn,low,unemployed,1042.32,5672.08,236.34,5.44,76.07,0.627,medium_risk,1,10.3,0,0,0,1,1,0,repayment_call,standard,1,0.658,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
92,Narva,upper_mid,salaried,3607.11,3613.87,200.77,1.0,59.23,0.281,low_risk,1,4.7,0,0,0,1,0,0,none,standard,1,0.814,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
93,Pärnu,mid,salaried,2994.82,7001.56,194.49,2.34,62.5,0.482,medium_risk,1,6.5,0,0,0,1,0,0,sms_reminder,restructured,1,0.723,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
94,Tartu,low,unemployed,781.48,3937.48,164.06,5.04,17.46,0.468,medium_risk,4,17.7,0,0,0,0,0,0,none,standard,0,0.649,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
95,Pärnu,lower_mid,self_employed,1744.95,6289.16,349.4,3.6,18.37,0.473,medium_risk,1,3.5,1,0,0,0,0,0,repayment_call,grace_period,1,0.647,False,False,False,False,False,False,False,0,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
96,Tartu,mid,self_employed,1609.71,3849.08,106.92,2.39,33.75,0.543,medium_risk,2,2.7,0,0,0,1,0,0,none,restructured,0,0.696,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
97,Tartu,mid,salaried,3961.35,4976.72,276.48,1.26,36.82,0.265,low_risk,1,5.7,0,0,0,1,0,0,sms_reminder,standard,0,0.821,False,False,False,False,False,False,False,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
98,Tartu,low,unemployed,735.34,6509.66,361.65,8.85,26.05,0.505,medium_risk,2,3.2,0,0,0,1,0,0,sms_reminder,standard,1,0.713,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
99,Tallinn,lower_mid,self_employed,1055.6,3138.7,261.56,2.97,62.37,0.473,medium_risk,1,4.0,0,0,0,1,1,0,repayment_call,standard,1,0.727,False,False,False,False,False,False,False,1,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False
100,Tallinn,upper_mid,student,3934.63,1676.77,69.87,0.43,45.04,0.267,low_risk,1,4.7,0,0,0,0,0,0,none,standard,1,0.74,False,False,False,False,False,False,False,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
101,Tallinn,low,self_employed,974.57,5203.36,433.61,5.34,68.18,0.526,medium_risk,2,10.5,0,0,0,1,0,0,none,standard,1,0.703,False,False,False,False,False,False,False,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False
