customer_id,region,acquisition_channel,employment_type,device_type,customer_tenure_months,monthly_income,income_band,credit_utilization_percent,debt_to_income_ratio,savings_balance,active_loan_amount,loan_term_months,installment_size,loan_to_income_ratio,financial_stress_score,app_sessions_per_week,avg_session_minutes,days_since_last_login,support_tickets_last_90d,autopay_enabled,number_of_products,promo_usage_rate,delinquency_flag,missed_payments_last_12m,avg_days_late,repayment_rate_percent,risk_band,engagement_band,utilization_band,savings_balance_missing_flag,monthly_income_invalid_flag,savings_balance_invalid_flag
11,Tallinn,partner,salaried,android,1,2186.05,mid,28.29,0.25,4970.02,619.4,12,51.62,0.28,0.11,3,4.0,4,1,1,2,38.35,1,1,3.5,90.7,low_risk,medium_engagement,low_utilization,False,False,False
12,Other,paid_search,salaried,android,4,2856.87,mid,35.62,0.39,1139.05,2254.08,18,125.23,0.79,0.218,3,4.08,6,0,0,1,66.16,1,2,6.0,90.26,low_risk,medium_engagement,medium_utilization,False,False,False
13,Narva,referral,salaried,ios,1,1920.32,mid,39.67,0.34,2586.91,974.02,18,54.11,0.51,0.18,4,4.61,3,0,1,2,21.15,0,0,0.0,99.03,low_risk,medium_engagement,medium_utilization,False,False,False
14,Tallinn,organic,,android,13,428.03,low,47.14,0.38,293.95,294.31,3,98.1,0.69,0.235,4,5.0,28,1,0,1,10.29,0,1,2.8,90.01,low_risk,medium_engagement,medium_utilization,False,False,False
15,Tallinn,referral,salaried,android,17,1065.09,lower_mid,18.7,0.21,549.31,960.17,18,53.34,0.9,0.165,7,4.08,1,1,0,2,12.87,0,1,5.3,90.99,low_risk,high_engagement,low_utilization,False,False,False
16,Tallinn,partner,salaried,ios,5,1537.82,lower_mid,18.8,0.48,3843.57,1558.17,6,259.7,1.01,0.22,5,4.8,26,0,1,2,23.55,0,1,1.7,92.34,low_risk,medium_engagement,low_utilization,False,False,False
17,Tallinn,paid_search,unemployed,ios,27,753.59,low,51.31,0.44,87.67,403.44,24,16.81,0.54,0.245,7,7.1,5,1,0,1,24.09,0,1,1.8,93.4,low_risk,high_engagement,medium_utilization,False,False,False
18,Tartu,referral,gig_worker,android,8,2235.83,mid,47.0,0.34,1109.48,866.01,9,96.22,0.39,0.185,1,6.17,6,0,0,1,18.13,0,0,0.0,98.93,low_risk,low_engagement,medium_utilization,False,False,False
19,Tartu,paid_search,unemployed,ios,72,662.42,low,28.93,0.1,270.32,341.92,6,56.99,0.52,0.125,5,5.09,2,0,1,1,5.47,0,1,4.1,94.4,low_risk,medium_engagement,low_utilization,False,False,False
20,Tallinn,social,unemployed,ios,0,425.05,low,36.93,0.22,266.32,603.51,24,25.15,1.42,0.266,5,6.02,5,0,1,1,36.48,0,0,0.0,97.9,low_risk,medium_engagement,medium_utilization,False,False,False
21,Tartu,paid_search,salaried,ios,2,1543.37,lower_mid,32.3,0.3,334.36,2279.36,6,379.89,1.48,0.278,9,10.4,1,1,1,2,7.21,1,1,4.8,91.01,low_risk,high_engagement,medium_utilization,False,False,False
22,Tallinn,partner,self_employed,android,5,1411.72,lower_mid,12.66,0.36,1574.49,5066.2,6,844.37,3.59,0.48,8,4.85,26,0,0,3,40.97,1,1,5.9,90.11,medium_risk,high_engagement,low_utilization,False,False,False
23,Tallinn,partner,salaried,android,0,1821.83,mid,20.37,0.44,307.93,1143.75,12,95.31,0.63,0.187,5,6.11,4,0,0,1,55.98,0,1,1.5,92.65,low_risk,medium_engagement,low_utilization,False,False,False
24,Tallinn,paid_search,salaried,android,21,3108.84,upper_mid,16.61,0.22,2977.21,964.4,3,321.47,0.31,0.087,3,4.44,2,0,1,1,15.39,0,1,4.1,93.15,low_risk,medium_engagement,low_utilization,False,False,False
25,Tartu,organic,gig_worker,android,1,2053.86,mid,46.54,0.44,630.04,3661.49,18,203.42,1.78,0.364,4,5.51,11,0,1,2,54.0,0,1,5.7,92.94,medium_risk,medium_engagement,medium_utilization,False,False,False
26,Narva,paid_search,salaried,android,19,1977.13,mid,1.34,0.14,1856.1,1260.76,9,140.08,0.64,0.081,3,2.63,4,0,1,3,1.24,0,0,1.0,99.58,low_risk,medium_engagement,low_utilization,False,False,False
27,Tallinn,partner,self_employed,web,1,2025.73,mid,64.75,0.54,429.97,1961.84,9,217.98,0.97,0.33,6,5.14,8,0,0,1,44.98,0,1,3.8,90.34,low_risk,medium_engagement,medium_utilization,False,False,False
28,Tartu,organic,gig_worker,ios,4,1021.18,lower_mid,58.72,0.45,209.8,657.73,9,73.08,0.64,0.268,4,6.45,1,0,1,1,16.07,0,0,0.0,97.92,low_risk,medium_engagement,medium_utilization,False,False,False
29,Tartu,paid_search,salaried,ios,26,1154.27,lower_mid,33.67,0.29,1933.96,1062.22,24,44.26,0.92,0.206,6,3.95,5,1,0,1,61.65,0,0,0.0,99.38,low_risk,medium_engagement,medium_utilization,False,False,False
30,Tallinn,partner,student,web,42,1589.47,lower_mid,22.54,0.22,3204.63,1038.36,9,115.37,0.65,0.137,2,1.8,3,2,1,1,3.14,0,0,0.1,99.1,low_risk,low_engagement,low_utilization,False,False,False
31,Tartu,paid_search,salaried,web,7,931.52,low,32.7,0.39,202.85,954.55,12,79.55,1.02,0.247,2,7.36,13,0,0,2,40.0,0,0,0.0,99.21,low_risk,low_engagement,medium_utilization,False,False,False
32,Tallinn,referral,salaried,ios,49,1104.5,lower_mid,51.71,0.54,526.06,492.3,3,164.1,0.45,0.245,2,3.41,1,0,1,1,12.42,0,0,0.0,98.23,low_risk,low_engagement,medium_utilization,False,False,False
33,Tallinn,organic,student,ios,14,1593.96,lower_mid,28.28,0.27,1523.31,1983.77,12,165.31,1.24,0.229,9,10.08,9,1,1,2,19.22,0,1,5.3,92.84,low_risk,high_engagement,low_utilization,False,False,False
34,Other,organic,salaried,android,8,2112.25,mid,32.73,0.39,1032.45,1002.47,3,334.16,0.47,0.176,4,8.15,0,0,1,1,37.07,0,0,2.8,99.49,low_risk,medium_engagement,medium_utilization,False,False,False
35,Other,partner,gig_worker,ios,23,910.31,low,33.96,0.35,,1380.58,18,76.7,1.52,0.294,4,8.13,0,0,1,1,7.57,0,1,3.3,94.41,low_risk,medium_engagement,medium_utilization,True,False,False
36,Narva,organic,salaried,android,5,2666.81,mid,39.33,0.34,2210.43,1892.14,24,78.84,0.71,0.202,6,6.15,8,1,0,2,21.66,0,1,1.1,90.23,low_risk,medium_engagement,medium_utilization,False,False,False
37,Tallinn,organic,salaried,ios,4,2752.49,mid,24.16,0.34,2300.33,2977.13,6,496.19,1.08,0.214,4,5.28,18,0,0,1,2.19,0,1,7.2,91.68,low_risk,medium_engagement,low_utilization,False,False,False
38,Tallinn,partner,gig_worker,ios,15,846.76,low,61.26,0.59,227.96,318.03,6,53.0,0.38,0.27,4,8.27,5,2,1,2,27.72,0,1,0.7,92.77,low_risk,medium_engagement,medium_utilization,False,False,False
39,Pärnu,paid_search,self_employed,android,7,1576.74,lower_mid,17.15,0.18,1376.67,2737.09,18,152.06,1.74,0.246,0,7.25,5,0,1,2,28.39,1,3,11.1,81.57,low_risk,low_engagement,low_utilization,False,False,False
40,Tartu,social,salaried,web,2,2853.72,mid,15.7,0.21,1393.52,4901.19,18,272.29,1.72,0.246,6,5.47,1,1,0,1,13.93,1,2,4.9,85.42,low_risk,medium_engagement,low_utilization,False,False,False
41,Tallinn,social,salaried,android,1,1577.78,lower_mid,23.11,0.39,676.57,1257.84,18,69.88,0.8,0.197,2,2.54,15,2,1,3,18.63,0,0,1.7,98.75,low_risk,low_engagement,low_utilization,False,False,False
42,Tartu,organic,student,ios,22,938.23,low,54.4,0.45,221.32,341.57,18,18.98,0.36,0.227,2,4.74,6,0,0,1,50.08,0,0,0.0,98.76,low_risk,low_engagement,medium_utilization,False,False,False
43,Tallinn,organic,salaried,web,16,3457.76,upper_mid,20.84,0.2,1137.99,3045.46,9,338.38,0.88,0.161,0,9.11,3,2,0,1,54.69,0,1,6.0,92.28,low_risk,low_engagement,low_utilization,False,False,False
44,Other,referral,student,android,7,367.92,low,9.43,0.22,279.28,671.03,24,27.96,1.82,0.256,1,9.83,14,0,1,1,53.61,0,3,9.3,72.21,low_risk,low_engagement,low_utilization,False,False,False
45,Tallinn,paid_search,salaried,ios,32,1863.58,mid,12.61,0.22,360.77,898.25,18,49.9,0.48,0.11,0,5.67,6,0,1,2,30.87,0,1,1.4,93.07,low_risk,low_engagement,low_utilization,False,False,False
46,Pärnu,organic,self_employed,android,7,2082.2,mid,28.47,0.39,345.55,5439.14,6,906.52,2.61,0.415,3,5.65,1,1,1,1,12.53,0,1,7.1,88.8,medium_risk,medium_engagement,low_utilization,False,False,False
47,Tallinn,referral,student,ios,17,453.96,low,25.36,0.29,219.68,661.85,3,220.62,1.46,0.262,2,5.68,1,1,0,1,30.43,0,0,0.3,99.11,low_risk,low_engagement,low_utilization,False,False,False
48,Tartu,organic,salaried,android,34,1744.68,lower_mid,43.74,0.39,806.4,1656.61,24,69.03,0.95,0.254,3,6.78,29,2,1,2,20.93,0,2,4.9,87.72,low_risk,medium_engagement,medium_utilization,False,False,False
49,Tartu,partner,self_employed,android,26,2738.55,mid,42.74,0.38,580.47,3210.62,6,535.1,1.17,0.276,9,5.25,9,0,1,2,21.1,0,1,2.0,89.59,low_risk,high_engagement,medium_utilization,False,False,False
50,Tallinn,organic,gig_worker,ios,10,1055.06,lower_mid,38.37,0.37,1909.37,961.61,12,80.13,0.91,0.23,3,3.57,2,0,1,1,47.39,0,2,9.2,83.36,low_risk,medium_engagement,medium_utilization,False,False,False
51,Other,organic,gig_worker,ios,16,802.99,low,45.56,0.52,207.56,329.41,12,27.45,0.41,0.23,7,6.15,6,1,0,1,22.81,0,2,6.6,85.08,low_risk,high_engagement,medium_utilization,False,False,False
52,Narva,organic,salaried,ios,7,3119.67,upper_mid,39.42,0.42,919.45,2412.25,12,201.02,0.77,0.23,2,5.39,13,2,0,1,26.31,0,0,2.0,98.74,low_risk,low_engagement,medium_utilization,False,False,False
53,Other,social,self_employed,android,15,2219.83,mid,37.03,0.27,629.29,905.99,12,75.5,0.41,0.157,3,7.15,20,2,0,3,46.89,0,3,5.7,81.07,low_risk,medium_engagement,medium_utilization,False,False,False
54,Other,referral,gig_worker,ios,4,1317.85,lower_mid,17.91,0.27,1570.43,2163.21,6,360.54,1.64,0.253,1,3.24,8,2,1,2,39.88,0,1,2.6,92.86,low_risk,low_engagement,low_utilization,False,False,False
55,Tartu,partner,student,ios,8,821.23,low,12.24,0.24,1792.44,165.22,12,13.77,0.2,0.073,5,5.83,23,0,1,2,13.02,0,0,0.2,99.64,low_risk,medium_engagement,low_utilization,False,False,False
56,Other,paid_search,gig_worker,web,3,1934.8,mid,6.59,0.22,598.88,1057.9,12,88.16,0.55,0.104,3,8.12,6,0,0,2,35.98,0,0,0.2,99.28,low_risk,medium_engagement,low_utilization,False,False,False
57,Tallinn,organic,salaried,android,1,2328.03,mid,43.0,0.27,2030.85,2808.72,6,468.12,1.21,0.253,5,4.73,17,1,1,2,45.66,0,0,1.3,98.48,low_risk,medium_engagement,medium_utilization,False,False,False
58,Tallinn,organic,unemployed,ios,12,814.8,low,23.45,0.29,555.12,166.44,9,18.49,0.2,0.112,6,3.82,0,1,1,2,10.87,0,2,10.0,83.93,low_risk,medium_engagement,low_utilization,False,False,False
59,Tallinn,paid_search,salaried,android,28,1647.96,lower_mid,36.46,0.31,461.2,898.43,12,74.87,0.55,0.182,5,5.65,10,3,0,2,22.51,0,0,0.0,98.61,low_risk,medium_engagement,medium_utilization,False,False,False
60,Tallinn,paid_search,salaried,ios,0,1073.43,lower_mid,19.56,0.14,754.22,547.22,18,30.4,0.51,0.108,3,5.23,5,0,1,1,57.7,0,1,3.5,94.54,low_risk,medium_engagement,low_utilization,False,False,False
61,Tallinn,referral,salaried,android,3,2610.67,mid,34.9,0.44,488.46,1219.68,12,101.64,0.47,0.195,6,5.74,12,0,1,1,58.52,0,0,0.0,99.6,low_risk,medium_engagement,medium_utilization,False,False,False
62,Tallinn,organic,salaried,android,9,3087.19,upper_mid,31.67,0.3,1327.3,2347.07,9,260.79,0.76,0.188,2,4.93,11,0,1,2,5.16,0,1,4.3,93.69,low_risk,low_engagement,medium_utilization,False,False,False
63,Narva,social,salaried,android,15,1941.27,mid,0.0,0.13,614.04,2204.74,6,367.46,1.14,0.139,1,4.64,7,0,0,1,29.9,0,1,0.0,91.09,low_risk,low_engagement,low_utilization,False,False,False
64,Tallinn,organic,salaried,android,3,2865.24,mid,41.3,0.45,1052.35,704.27,3,234.76,0.25,0.18,3,8.61,18,1,1,1,14.37,0,1,1.6,93.99,low_risk,medium_engagement,medium_utilization,False,False,False
65,Tallinn,social,salaried,ios,1,1867.52,mid,14.41,0.31,1182.48,2741.75,3,913.92,1.47,0.236,2,3.68,15,1,1,1,30.89,0,0,0.0,99.33,low_risk,low_engagement,low_utilization,False,False,False
66,Tartu,organic,self_employed,android,10,1840.63,mid,34.31,0.32,2857.93,1473.16,3,491.05,0.8,0.197,3,7.47,34,0,1,1,39.85,0,2,8.1,87.64,low_risk,medium_engagement,medium_utilization,False,False,False
67,Tallinn,paid_search,salaried,ios,24,3877.88,upper_mid,47.27,0.41,1791.82,1103.98,6,184.0,0.28,0.185,3,7.93,3,0,1,1,60.44,0,0,2.2,98.63,low_risk,medium_engagement,medium_utilization,False,False,False
68,Narva,organic,salaried,ios,1,1896.3,mid,24.19,0.2,498.35,2684.59,24,111.86,1.42,0.233,4,4.04,7,1,1,2,53.09,0,1,1.5,90.61,low_risk,medium_engagement,low_utilization,False,False,False
69,Tallinn,paid_search,salaried,web,6,1857.51,mid,38.63,0.29,912.78,1068.87,6,178.14,0.58,0.181,5,3.98,11,0,0,2,24.97,0,0,0.0,98.84,low_risk,medium_engagement,medium_utilization,False,False,False
70,Other,paid_search,salaried,android,15,1091.38,lower_mid,55.38,0.56,93.35,1166.91,6,194.48,1.07,0.336,2,6.17,22,1,0,1,9.23,0,1,5.8,94.22,medium_risk,low_engagement,medium_utilization,False,False,False
71,Narva,paid_search,salaried,web,2,2673.7,mid,39.32,0.37,2447.5,1319.93,12,109.99,0.49,0.183,0,5.95,18,1,0,1,20.33,1,1,6.5,95.02,low_risk,low_engagement,medium_utilization,False,False,False
72,Tallinn,paid_search,self_employed,ios,4,1482.03,lower_mid,54.75,0.53,329.29,1467.9,12,122.32,0.99,0.312,3,4.77,6,1,1,1,19.53,0,1,0.4,94.05,low_risk,medium_engagement,medium_utilization,False,False,False
73,Tallinn,referral,unemployed,android,11,684.37,low,61.05,0.47,1075.6,379.84,18,21.1,0.56,0.258,5,4.92,6,1,1,2,23.89,0,2,4.7,89.43,low_risk,medium_engagement,medium_utilization,False,False,False
74,Narva,referral,,ios,43,761.26,low,22.97,0.31,846.7,438.57,6,73.1,0.58,0.155,3,4.2,2,2,1,1,20.07,0,0,0.0,98.85,low_risk,medium_engagement,low_utilization,False,False,False
75,Pärnu,partner,student,android,5,727.21,low,23.79,0.14,438.75,2242.72,9,249.19,3.08,0.408,6,7.35,16,1,1,1,27.7,0,4,23.6,67.57,medium_risk,medium_engagement,low_utilization,False,False,False
76,Pärnu,organic,salaried,ios,9,2015.23,mid,8.72,0.27,1013.32,399.2,6,66.53,0.2,0.075,2,6.63,3,1,1,3,11.44,0,1,4.8,95.21,low_risk,low_engagement,low_utilization,False,False,False
77,Narva,referral,salaried,ios,7,2070.19,mid,48.39,0.41,657.78,2255.89,12,187.99,1.09,0.284,2,6.05,11,0,0,3,26.92,0,1,2.9,94.08,low_risk,low_engagement,medium_utilization,False,False,False
78,Tallinn,referral,salaried,ios,32,3169.47,upper_mid,21.57,0.23,1367.85,3038.65,12,253.22,0.96,0.177,4,4.2,9,2,0,1,27.26,0,1,2.3,92.26,low_risk,medium_engagement,low_utilization,False,False,False
79,Tallinn,paid_search,,android,1,2298.32,mid,36.93,0.4,1128.31,1433.6,18,79.64,0.62,0.203,2,6.52,3,0,1,4,14.47,1,2,7.9,86.39,low_risk,low_engagement,medium_utilization,False,False,False
80,Tallinn,paid_search,salaried,ios,12,2637.12,mid,21.82,0.35,1101.71,1877.1,9,208.57,0.71,0.174,3,9.41,23,0,0,3,12.24,0,0,0.0,99.14,low_risk,medium_engagement,low_utilization,False,False,False
81,Other,organic,salaried,android,26,3277.18,upper_mid,23.54,0.25,2772.54,3544.47,6,590.74,1.08,0.194,4,4.58,6,2,0,3,48.97,0,1,3.2,94.07,low_risk,medium_engagement,low_utilization,False,False,False
82,Tartu,organic,salaried,ios,62,2831.73,mid,41.3,0.28,4027.89,812.18,24,33.84,0.29,0.144,4,5.07,21,1,0,1,12.81,0,1,5.1,93.02,low_risk,medium_engagement,medium_utilization,False,False,False
83,Tallinn,organic,salaried,ios,17,2496.91,mid,39.25,0.5,1301.35,5859.93,9,651.1,2.35,0.421,7,5.55,2,5,0,1,54.32,0,1,1.1,92.45,medium_risk,high_engagement,medium_utilization,False,False,False
84,Tallinn,organic,unemployed,android,7,1081.68,lower_mid,44.97,0.38,1127.82,437.88,6,72.98,0.4,0.19,6,8.12,2,0,0,1,16.84,0,1,1.4,90.64,low_risk,medium_engagement,medium_utilization,False,False,False
85,Tallinn,referral,gig_worker,web,7,853.97,low,43.7,0.24,145.93,1082.73,12,90.23,1.27,0.27,1,5.99,8,0,1,1,30.74,0,3,4.9,74.74,low_risk,low_engagement,medium_utilization,False,False,False
86,Tallinn,referral,gig_worker,ios,6,1062.41,lower_mid,15.04,0.2,830.51,1423.74,6,237.29,1.34,0.203,8,1.39,6,0,1,1,6.91,0,0,1.8,99.31,low_risk,high_engagement,low_utilization,False,False,False
87,Pärnu,social,self_employed,ios,13,1425.52,lower_mid,12.39,0.25,928.82,1276.01,9,141.78,0.9,0.158,4,4.23,5,0,1,3,18.41,0,0,0.0,99.15,low_risk,medium_engagement,low_utilization,False,False,False
88,Tartu,referral,student,android,19,764.9,low,42.4,0.38,125.57,475.06,9,52.78,0.62,0.222,3,4.72,10,0,0,1,16.97,0,1,3.7,92.21,low_risk,medium_engagement,medium_utilization,False,False,False
89,Other,organic,self_employed,ios,24,2415.53,mid,26.14,0.28,1087.39,3468.89,18,192.72,1.44,0.251,11,6.7,32,1,1,1,14.87,0,0,0.1,99.28,low_risk,high_engagement,low_utilization,False,False,False
90,Tartu,social,unemployed,android,8,439.96,low,29.98,0.29,440.3,131.63,12,10.97,0.3,0.137,2,5.64,4,1,0,2,28.59,0,2,6.6,83.57,low_risk,low_engagement,low_utilization,False,False,False
91,Tallinn,partner,salaried,ios,18,2504.07,mid,38.02,0.33,162.53,1495.37,9,166.15,0.6,0.2,5,3.95,9,2,1,1,33.71,1,4,3.8,62.8,low_risk,medium_engagement,medium_utilization,False,False,False
92,Pärnu,paid_search,self_employed,android,35,1547.1,lower_mid,13.12,0.12,,566.35,9,62.93,0.37,0.075,4,5.05,15,0,1,1,25.33,0,0,0.0,99.58,low_risk,medium_engagement,low_utilization,True,False,False
93,Narva,referral,self_employed,ios,36,1682.67,lower_mid,21.0,0.16,682.61,546.52,24,22.77,0.32,0.094,4,5.03,3,0,1,3,12.12,0,0,2.4,99.48,low_risk,medium_engagement,low_utilization,False,False,False
94,Tartu,social,salaried,android,17,2252.59,mid,10.1,0.23,1714.44,1027.94,18,57.11,0.46,0.096,5,6.78,3,0,1,1,25.29,0,0,0.0,99.27,low_risk,medium_engagement,low_utilization,False,False,False
95,Narva,paid_search,student,android,14,1531.0,lower_mid,47.21,0.51,1342.14,6572.56,6,1095.43,4.29,0.657,5,7.99,17,1,1,2,43.19,0,1,1.0,90.61,medium_risk,medium_engagement,medium_utilization,False,False,False
96,Tartu,social,unemployed,android,11,506.56,low,67.5,0.5,297.02,936.68,9,104.08,1.85,0.429,5,4.79,1,1,0,2,12.5,0,1,4.5,93.06,medium_risk,medium_engagement,medium_utilization,False,False,False
97,Tartu,organic,salaried,android,3,2041.95,mid,6.86,0.3,2697.86,2256.65,9,250.74,1.11,0.174,4,2.89,3,1,1,4,34.28,0,2,4.0,89.99,low_risk,medium_engagement,low_utilization,False,False,False
98,Tartu,organic,salaried,web,2,1439.88,lower_mid,3.29,0.26,2285.12,716.39,6,119.4,0.5,0.092,6,5.03,8,0,1,1,5.02,1,1,2.7,91.68,low_risk,medium_engagement,low_utilization,False,False,False
99,Tallinn,paid_search,salaried,ios,9,1631.1,lower_mid,30.07,0.3,653.71,2278.5,6,379.75,1.4,0.261,5,2.75,6,2,1,3,22.32,0,0,0.0,99.04,low_risk,medium_engagement,medium_utilization,False,False,False
100,Tallinn,referral,student,ios,2,580.95,low,20.61,0.31,53.78,302.48,6,50.41,0.52,0.159,4,6.78,10,1,1,2,9.35,0,0,1.0,98.78,low_risk,medium_engagement,low_utilization,False,False,False
101,Tallinn,partner,self_employed,android,12,2069.96,mid,12.7,0.26,2089.11,4258.21,12,354.85,2.06,0.286,7,7.24,1,3,1,1,14.07,0,0,4.1,97.95,low_risk,high_engagement,low_utilization,False,False,False
102,Tartu,social,salaried,android,15,2437.07,mid,26.21,0.25,623.45,913.72,24,38.07,0.37,0.128,9,8.95,27,0,1,1,10.19,0,0,0.0,99.31,low_risk,high_engagement,low_utilization,False,False,False
103,Tallinn,paid_search,salaried,ios,10,2670.87,mid,59.44,0.3,,914.77,24,38.12,0.34,0.196,5,6.82,5,0,0,1,49.32,0,1,0.5,91.91,low_risk,medium_engagement,medium_utilization,True,False,False
104,Tartu,organic,salaried,android,1,1613.1,lower_mid,8.63,0.21,350.53,2460.05,18,136.67,1.53,0.219,6,6.12,9,0,0,2,17.77,0,0,2.4,99.09,low_risk,medium_engagement,low_utilization,False,False,False
105,Other,partner,gig_worker,ios,1,1612.66,lower_mid,20.37,0.32,529.82,736.74,12,61.4,0.46,0.141,3,3.91,12,1,1,1,28.4,0,0,0.0,99.7,low_risk,medium_engagement,low_utilization,False,False,False
106,Tallinn,referral,salaried,android,2,2184.8,mid,34.48,0.3,1705.41,5018.41,3,1672.8,2.3,0.365,1,5.25,9,0,0,1,28.46,0,1,5.1,93.09,medium_risk,low_engagement,medium_utilization,False,False,False
107,Tallinn,organic,salaried,android,2,2057.98,mid,33.66,0.5,,3843.13,3,1281.04,1.87,0.359,7,6.31,11,0,1,4,36.44,0,0,1.9,99.19,medium_risk,high_engagement,medium_utilization,True,False,False
108,Narva,paid_search,gig_worker,android,64,874.25,low,38.03,0.44,122.03,1014.68,3,338.23,1.16,0.286,5,4.43,7,0,0,1,25.1,0,2,7.8,86.96,low_risk,medium_engagement,medium_utilization,False,False,False
109,Tallinn,partner,salaried,ios,6,2215.72,mid,16.55,0.12,474.21,430.31,3,143.44,0.19,0.064,2,0.8,28,0,0,3,11.02,0,0,2.3,99.57,low_risk,low_engagement,low_utilization,False,False,False
110,Tallinn,partner,salaried,android,5,2240.44,mid,28.87,0.29,2777.08,1104.38,9,122.71,0.49,0.146,7,7.22,6,1,0,2,10.31,0,3,18.4,86.49,low_risk,high_engagement,low_utilization,False,False,False
111,Tallinn,paid_search,salaried,android,1,2176.12,mid,54.09,0.38,686.85,9896.11,3,3298.7,4.55,0.678,6,6.86,13,1,1,1,56.6,0,2,3.5,84.44,high_risk,medium_engagement,medium_utilization,False,False,False
112,Tallinn,organic,salaried,ios,14,2415.62,mid,33.26,0.3,963.64,837.38,9,93.04,0.35,0.147,2,5.38,3,1,1,1,32.74,0,1,0.3,94.04,low_risk,low_engagement,medium_utilization,False,False,False
113,Other,social,salaried,android,15,2677.93,mid,43.0,0.44,786.56,1677.86,24,69.91,0.63,0.226,6,5.96,14,0,0,2,12.64,0,1,0.0,92.69,low_risk,medium_engagement,medium_utilization,False,False,False
114,Narva,referral,unemployed,web,3,442.6,low,27.26,0.28,76.44,379.62,12,31.64,0.86,0.203,3,8.67,9,1,0,3,40.52,0,0,0.0,98.71,low_risk,medium_engagement,low_utilization,False,False,False
115,Tartu,paid_search,gig_worker,ios,35,1251.4,lower_mid,14.93,0.19,613.04,849.64,12,70.8,0.68,0.129,3,0.68,21,0,0,2,23.6,1,1,1.1,91.35,low_risk,medium_engagement,low_utilization,False,False,False
116,Other,organic,student,ios,23,1018.16,lower_mid,63.66,0.51,,2483.34,9,275.93,2.44,0.483,5,5.7,8,2,0,1,34.57,0,2,4.9,86.43,medium_risk,medium_engagement,medium_utilization,True,False,False
117,Narva,referral,unemployed,ios,4,591.72,low,46.19,0.46,148.28,546.37,24,22.77,0.92,0.278,7,7.6,2,0,1,1,17.21,0,0,3.9,97.96,low_risk,high_engagement,medium_utilization,False,False,False
118,Tallinn,organic,salaried,android,9,2938.02,mid,14.67,0.29,427.75,3372.77,6,562.13,1.15,0.203,11,7.3,1,1,1,1,30.02,0,2,7.2,83.79,low_risk,high_engagement,low_utilization,False,False,False
119,Other,organic,salaried,web,9,2167.34,mid,11.93,0.26,2375.4,1912.88,24,79.7,0.88,0.151,5,3.44,11,1,1,2,23.58,0,1,5.5,94.0,low_risk,medium_engagement,low_utilization,False,False,False
