user_id,signup_date,acquisition_channel,region,company_size,industry,experiment_group,experiment_eligibility_flag,assignment_valid_flag,exposure_days,low_exposure_flag,onboarding_completion_flag,activation_flag,retained_30d,retained_60d,churn_30d,upgrade_flag,expansion_revenue_flag,negative_feedback_flag,sessions_first_14d,feature_adoption_count,support_tickets_first_30d,time_to_activation_days,monthly_subscription_value,subscription_value_band,engagement_band,feature_adoption_band,experiment_eligibility_flag_invalid_flag,assignment_valid_flag_invalid_flag,low_exposure_flag_invalid_flag,onboarding_completion_flag_invalid_flag,activation_flag_invalid_flag,retained_30d_invalid_flag,retained_60d_invalid_flag,churn_30d_invalid_flag,upgrade_flag_invalid_flag,expansion_revenue_flag_invalid_flag,negative_feedback_flag_invalid_flag,experiment_eligibility_flag_clean,assignment_valid_flag_clean,low_exposure_flag_clean,onboarding_completion_flag_clean,activation_flag_clean,retained_30d_clean,retained_60d_clean,churn_30d_clean,upgrade_flag_clean,expansion_revenue_flag_clean,negative_feedback_flag_clean,acquisition_channel_missing_flag,company_size_missing_flag,time_to_activation_days_missing_flag,exposure_days_invalid_flag,sessions_first_14d_invalid_flag,feature_adoption_count_invalid_flag,support_tickets_first_30d_invalid_flag,time_to_activation_days_invalid_flag,monthly_subscription_value_invalid_flag
11,2026-01-24,paid_social,Europe,small,software,control,1,1,27,0,0,0,1,1,0,0,0,0,1,1,0,,103.63,mid_value,low_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
12,2026-01-03,paid_social,North America,solo,other,control,1,1,24,0,0,0,0,0,1,0,1,0,7,2,1,,20.86,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,1,0,False,False,True,False,False,False,False,False,False
13,2026-01-22,paid_search,Europe,small,other,control,1,1,24,0,0,0,1,1,0,0,0,0,8,1,2,,83.21,mid_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
14,2026-02-22,organic,APAC,mid_market,healthcare,treatment,1,1,28,0,0,1,0,0,1,0,0,0,7,4,0,3.9,249.98,high_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
15,2026-01-02,direct,North America,mid_market,healthcare,control,1,1,23,0,1,0,0,0,1,0,0,0,6,3,0,,182.09,high_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
16,2026-03-29,paid_social,Other,mid_market,software,control,1,1,25,0,1,0,0,0,1,0,0,0,1,2,2,,322.38,high_value,low_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
17,2026-01-30,referral,Europe,small,finance,treatment,1,1,25,0,0,0,1,0,0,0,0,0,5,1,0,,74.95,mid_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False
18,2026-02-07,paid_search,North America,solo,finance,treatment,1,1,23,0,1,1,1,0,0,0,0,0,7,5,1,5.6,35.8,low_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
19,2026-01-02,organic,Europe,solo,other,treatment,1,1,24,0,1,1,1,0,0,1,0,0,7,6,0,11.8,34.18,low_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,False
20,2026-03-05,paid_search,APAC,enterprise,retail,treatment,1,1,29,0,1,1,0,1,1,0,0,0,15,4,2,9.2,778.88,enterprise_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
21,2026-03-01,paid_search,Europe,small,education,control,1,1,23,0,0,1,1,0,0,1,1,0,3,6,0,2.0,115.25,mid_value,low_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,1,1,0,False,False,False,False,False,False,False,False,False
22,2026-01-21,partner,Europe,mid_market,software,control,1,1,30,0,1,0,1,0,0,0,0,0,3,4,0,,265.01,high_value,low_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False
23,2026-02-02,referral,Europe,mid_market,finance,treatment,1,1,29,0,1,1,1,1,0,0,0,0,16,2,0,0.6,237.52,high_value,power_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
24,2026-03-17,organic,Europe,mid_market,software,treatment,1,1,30,0,1,1,1,1,0,0,0,0,9,5,1,3.9,335.94,high_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
25,2026-02-27,direct,North America,solo,other,control,1,1,21,0,1,0,0,1,1,0,0,0,7,1,0,,20.23,low_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,1,1,0,0,0,False,False,True,False,False,False,False,False,False
26,2026-01-22,paid_search,North America,solo,software,control,1,1,25,0,1,0,0,1,1,0,0,0,6,1,0,,21.55,low_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,1,1,0,0,0,False,False,True,False,False,False,False,False,False
27,2026-03-30,direct,North America,mid_market,finance,treatment,1,1,25,0,0,1,0,1,1,1,1,1,10,1,2,6.2,265.41,high_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,1,1,1,1,1,False,False,False,False,False,False,False,False,False
28,2026-02-18,direct,North America,enterprise,software,treatment,1,1,29,0,0,1,0,0,1,1,1,0,10,4,0,3.4,651.21,enterprise_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False
29,2026-02-28,organic,North America,small,retail,control,1,1,28,0,1,0,1,0,0,0,0,0,4,2,0,,67.73,mid_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False
30,2026-02-11,paid_search,Europe,mid_market,healthcare,control,1,1,27,0,0,1,0,0,1,0,0,0,11,1,2,5.5,139.84,mid_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
31,2026-03-01,paid_social,Europe,solo,healthcare,treatment,1,1,21,0,1,1,0,0,1,0,0,0,5,2,1,2.4,45.86,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
32,2026-03-21,referral,North America,solo,software,control,1,1,27,0,0,0,1,1,0,0,0,0,5,1,0,,46.09,low_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
33,2026-01-15,paid_social,North America,small,healthcare,control,1,1,22,0,0,0,0,0,1,0,0,0,1,2,1,,102.23,mid_value,low_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
34,2026-03-03,direct,North America,mid_market,healthcare,control,1,1,29,0,1,1,1,0,0,0,0,0,14,6,1,5.9,244.63,high_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
35,2026-03-03,referral,North America,small,other,control,1,1,23,0,1,1,1,1,0,0,0,0,4,5,0,10.4,115.19,mid_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
36,2026-02-16,organic,North America,small,software,treatment,1,1,29,0,0,1,0,1,1,0,0,0,13,5,1,14.1,66.28,mid_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
37,2026-03-03,organic,Europe,solo,other,treatment,1,1,25,0,1,1,0,1,1,0,1,0,5,1,1,9.5,45.72,low_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,0,1,0,False,False,False,False,False,False,False,False,False
38,2026-02-20,referral,North America,small,healthcare,control,1,1,24,0,1,1,1,1,0,1,1,0,9,4,1,1.1,110.74,mid_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,1,1,0,False,False,False,False,False,False,False,False,False
39,2026-02-24,organic,Europe,enterprise,software,control,1,1,25,0,1,1,1,0,0,0,0,0,6,4,1,3.6,1389.87,enterprise_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
40,2026-03-05,partner,UK,solo,retail,treatment,1,1,22,0,1,1,1,1,0,1,0,0,9,3,2,5.4,59.33,mid_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,1,0,0,False,False,False,False,False,False,False,False,False
41,2026-01-03,paid_search,North America,mid_market,healthcare,control,1,1,28,0,1,0,1,1,0,0,0,0,8,0,1,,237.51,high_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
42,2026-02-20,paid_search,North America,mid_market,software,treatment,1,1,28,0,1,1,1,1,0,0,0,0,8,4,0,9.1,220.22,high_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
43,2026-01-07,organic,North America,mid_market,retail,control,0,0,4,1,0,0,1,0,0,0,0,0,7,2,0,,350.67,high_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,0,0,1,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False
44,2026-01-21,referral,North America,enterprise,healthcare,control,1,1,28,0,1,1,0,0,1,1,1,0,9,5,1,6.3,1147.12,enterprise_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False
45,2026-03-14,organic,North America,small,retail,treatment,1,1,27,0,1,1,0,1,1,0,0,0,10,3,1,7.6,50.93,mid_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
46,2026-02-08,referral,UK,small,retail,treatment,1,1,22,0,1,1,0,0,1,0,0,0,5,5,0,8.9,73.07,mid_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
47,2026-01-18,paid_social,North America,solo,healthcare,treatment,1,1,28,0,0,0,0,1,1,0,0,0,6,5,0,,35.93,low_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,1,1,0,0,0,False,False,True,False,False,False,False,False,False
48,2026-01-04,partner,Other,small,finance,control,1,1,26,0,0,1,1,0,0,0,0,0,10,4,2,4.1,74.72,mid_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
49,2026-03-30,paid_social,North America,small,software,control,1,1,25,0,1,0,1,1,0,0,0,0,10,2,1,,98.75,mid_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
50,2026-03-01,organic,UK,solo,healthcare,control,1,1,22,0,1,0,1,1,0,0,0,0,5,4,2,,25.01,low_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
51,2026-01-14,referral,UK,mid_market,software,control,1,1,23,0,0,0,1,1,0,0,0,0,3,5,3,,252.8,high_value,low_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
52,2026-01-09,organic,North America,mid_market,software,treatment,1,1,24,0,1,1,1,0,0,1,0,0,13,1,0,5.2,228.78,high_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,False
53,2026-03-31,paid_search,North America,small,finance,control,1,1,24,0,1,0,0,0,1,0,0,0,6,1,1,,62.08,mid_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
54,2026-02-22,organic,Europe,solo,software,control,1,1,25,0,0,1,1,0,0,0,0,0,17,4,1,2.3,42.92,low_value,power_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
55,2026-01-02,referral,APAC,small,healthcare,treatment,1,1,22,0,0,1,0,0,1,0,0,0,10,7,3,5.0,116.2,mid_value,high_engagement,broad_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
56,2026-03-25,direct,Europe,small,healthcare,control,1,1,29,0,1,0,0,1,1,0,0,0,11,1,0,,54.13,mid_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,1,1,0,0,0,False,False,True,False,False,False,False,False,False
57,2026-03-01,paid_social,North America,mid_market,education,treatment,1,1,29,0,1,1,1,0,0,1,0,1,12,5,0,2.6,192.41,high_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,1,0,1,False,False,False,False,False,False,False,False,False
58,2026-03-12,paid_social,North America,small,software,treatment,1,1,29,0,0,0,0,0,1,0,0,0,1,0,0,,101.87,mid_value,low_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
59,2026-02-13,referral,North America,solo,finance,control,1,1,25,0,1,1,0,0,1,0,0,0,10,3,0,5.6,22.26,low_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
60,2026-01-08,organic,APAC,solo,retail,control,1,1,24,0,1,1,1,1,0,0,0,0,11,3,1,7.4,25.94,low_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
61,2026-02-16,direct,UK,small,other,treatment,1,1,29,0,1,0,0,1,1,0,0,0,4,2,0,,67.69,mid_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,1,1,0,0,0,False,False,True,False,False,False,False,False,False
62,2026-02-04,organic,North America,small,other,treatment,0,0,1,1,1,0,1,1,0,0,0,0,4,1,0,,81.99,mid_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,0,0,1,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False
63,2026-03-19,direct,North America,solo,healthcare,treatment,1,1,27,0,0,1,1,0,0,1,1,0,10,3,3,3.9,24.26,low_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,1,1,0,False,False,False,False,False,False,False,False,False
64,2026-03-22,referral,North America,solo,retail,control,1,1,25,0,0,0,0,0,1,0,0,0,4,2,0,,49.52,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
65,2026-02-05,referral,APAC,small,healthcare,control,1,1,28,0,0,1,0,1,1,0,0,0,10,3,1,5.7,100.3,mid_value,high_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
66,2026-02-19,referral,APAC,small,finance,treatment,1,1,25,0,1,1,1,0,0,0,0,0,8,5,1,11.8,63.75,mid_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
67,2026-01-04,paid_search,North America,small,retail,control,1,1,22,0,0,1,1,1,0,0,0,0,7,3,2,1.9,136.16,mid_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
68,2026-01-02,paid_social,Europe,mid_market,finance,control,1,1,26,0,1,1,0,1,1,0,0,0,11,4,1,1.6,174.41,high_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
69,2026-01-06,organic,APAC,small,finance,treatment,1,1,22,0,0,1,1,1,0,0,0,0,12,5,1,2.2,62.47,mid_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
70,2026-02-23,referral,North America,small,retail,treatment,1,1,30,0,1,1,0,1,1,0,0,0,13,4,2,1.7,67.21,mid_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
71,2026-01-04,referral,North America,solo,other,treatment,1,1,29,0,0,1,0,0,1,0,0,0,9,6,3,4.6,28.22,low_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False
72,2026-02-23,direct,North America,solo,finance,control,1,1,27,0,0,0,0,0,1,0,0,0,3,2,0,,23.28,low_value,low_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
73,2026-03-04,paid_social,North America,small,retail,control,1,1,23,0,0,1,1,1,0,1,1,0,8,2,0,11.8,110.86,mid_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,1,0,1,1,0,False,False,False,False,False,False,False,False,False
74,2026-01-18,organic,North America,solo,finance,treatment,1,1,30,0,0,1,1,0,0,0,0,0,15,1,1,6.2,48.94,low_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
75,2026-03-31,paid_search,Other,small,finance,treatment,1,1,28,0,0,0,1,0,0,0,0,0,5,0,2,,76.85,mid_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False
76,2026-02-13,referral,Europe,solo,retail,treatment,1,1,21,0,1,1,1,1,0,0,0,0,10,8,0,13.2,14.43,low_value,high_engagement,broad_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
77,2026-02-03,organic,North America,solo,other,treatment,1,1,29,0,0,0,0,0,1,0,0,0,4,3,0,,35.33,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
78,2026-03-15,paid_search,North America,solo,finance,control,1,1,27,0,0,0,0,0,1,0,0,0,6,3,1,,18.11,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
79,2026-03-03,partner,UK,mid_market,education,treatment,0,0,13,1,1,1,1,1,0,1,0,0,10,4,1,11.4,215.07,high_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,0,0,1,1,1,1,1,0,1,0,0,False,False,False,False,False,False,False,False,False
80,2026-01-14,paid_social,North America,small,finance,control,1,1,22,0,1,1,0,1,1,0,0,0,8,5,2,1.7,93.88,mid_value,moderate_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False
81,2026-02-17,,North America,solo,education,treatment,1,1,28,0,1,0,0,0,1,0,0,0,0,2,0,,15.66,low_value,low_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,1,0,0,0,True,False,True,False,False,False,False,False,False
82,2026-01-15,paid_search,North America,small,education,treatment,1,1,26,0,0,0,0,0,1,0,0,0,4,1,2,,190.78,high_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
83,2026-03-13,referral,UK,small,education,treatment,1,1,26,0,0,1,0,0,1,1,0,0,10,1,2,15.2,169.17,high_value,high_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False
84,2026-03-19,paid_search,North America,mid_market,other,control,1,1,24,0,0,1,1,0,0,0,0,0,21,7,1,7.6,233.78,high_value,power_engagement,broad_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
85,2026-03-28,referral,North America,solo,software,treatment,1,1,25,0,0,0,1,0,0,0,0,0,4,2,0,,30.04,low_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False
86,2026-03-03,organic,Europe,mid_market,finance,treatment,1,1,29,0,0,1,1,0,0,0,0,0,17,4,0,10.5,282.56,high_value,power_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
87,2026-02-09,partner,North America,small,retail,treatment,1,1,27,0,1,0,0,0,1,0,0,0,5,2,2,,74.35,mid_value,moderate_engagement,basic_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False
88,2026-03-26,paid_social,Other,small,retail,treatment,1,1,21,0,1,1,1,1,0,0,0,0,13,4,1,3.7,80.05,mid_value,high_engagement,moderate_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False
89,2026-03-21,paid_search,Europe,small,education,control,1,1,22,0,1,0,0,1,1,0,1,0,5,1,0,,142.85,mid_value,moderate_engagement,minimal_adoption,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,0,0,1,1,0,1,0,False,False,True,False,False,False,False,False,False
